entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,symbol,strategy_name,trigger_reason,confidence_score
2026-03-09 13:55:00+00:00,2026-03-09 14:00:00+00:00,BUY,24382.80000,24358.40000,24358.90000,24429.10000,LOSS,-110.46,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24378.90000) swept and reclaimed at 24382.30000, mid=24368.90000",1.00
2026-03-10 15:25:00+00:00,2026-03-10 15:30:00+00:00,BUY,24975.90000,25026.95000,24949.37500,25027.45000,WIN,206.10,1.92,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24969.37500) swept and reclaimed at 24975.40000, mid=24959.37500",1.00
2026-03-11 14:30:00+00:00,2026-03-11 14:35:00+00:00,BUY,24969.30000,24931.77500,24932.27500,25041.85000,LOSS,-110.62,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24952.27500) swept and reclaimed at 24968.80000, mid=24942.27500",1.00
2026-03-12 13:55:00+00:00,2026-03-12 15:20:00+00:00,SELL,24837.20000,24737.75000,24887.92500,24737.25000,WIN,211.82,1.96,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24867.92500) swept and reclaimed at 24837.70000, mid=24877.92500",1.00
2026-03-13 14:30:00+00:00,2026-03-13 14:45:00+00:00,BUY,24635.70000,24682.10000,24611.50000,24682.60000,WIN,211.22,1.92,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24631.50000) swept and reclaimed at 24635.20000, mid=24621.50000",1.00
2026-03-16 15:35:00+00:00,2026-03-17 02:25:00+00:00,BUY,24677.40000,24593.02500,24593.52500,24843.65000,LOSS,-112.94,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24613.52500) swept and reclaimed at 24676.90000, mid=24603.52500",1.00
2026-03-17 13:55:00+00:00,2026-03-17 14:05:00+00:00,SELL,24587.00000,24624.57500,24624.07500,24514.35000,LOSS,-112.64,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24604.07500) swept and reclaimed at 24587.50000, mid=24614.07500",1.00
2026-03-18 13:55:00+00:00,2026-03-18 14:00:00+00:00,SELL,24891.60000,24851.10000,24912.85000,24850.60000,WIN,209.68,1.91,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24892.85000) swept and reclaimed at 24892.10000, mid=24902.85000",1.00
2026-03-19 13:55:00+00:00,2026-03-19 14:00:00+00:00,BUY,24310.80000,24281.02500,24281.52500,24367.85000,LOSS,-114.03,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24301.52500) swept and reclaimed at 24310.30000, mid=24291.52500",1.00
2026-03-20 14:10:00+00:00,2026-03-20 15:30:00+00:00,BUY,24272.00000,24214.12500,24214.62500,24385.25000,LOSS,-111.94,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24234.62500) swept and reclaimed at 24271.50000, mid=24224.62500",1.00
2026-03-23 16:05:00+00:00,2026-03-23 16:10:00+00:00,SELL,24341.60000,24374.75000,24374.25000,24277.80000,LOSS,-111.54,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24354.25000) swept and reclaimed at 24342.10000, mid=24364.25000",1.00
2026-03-24 13:55:00+00:00,2026-03-24 14:00:00+00:00,SELL,24122.80000,24182.40000,24181.90000,24006.10000,LOSS,-109.66,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24161.90000) swept and reclaimed at 24123.30000, mid=24171.90000",1.00
2026-03-25 14:20:00+00:00,2026-03-25 15:35:00+00:00,SELL,24229.90000,24295.32500,24294.82500,24101.55000,LOSS,-108.47,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24274.82500) swept and reclaimed at 24230.40000, mid=24284.82500",1.00
2026-03-26 14:00:00+00:00,2026-03-26 14:10:00+00:00,SELL,23894.30000,23934.12500,23933.62500,23817.15000,LOSS,-107.91,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (23913.62500) swept and reclaimed at 23894.80000, mid=23923.62500",1.00
2026-03-27 14:05:00+00:00,2026-03-27 15:00:00+00:00,SELL,23446.80000,23396.40000,23473.00000,23395.90000,WIN,202.90,1.92,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (23453.00000) swept and reclaimed at 23447.30000, mid=23463.00000",1.00
2026-03-30 16:50:00+00:00,2026-03-30 17:40:00+00:00,SELL,23178.00000,23085.35000,23225.32500,23084.85000,WIN,210.47,1.96,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (23205.32500) swept and reclaimed at 23178.50000, mid=23215.32500",1.00
2026-03-31 13:55:00+00:00,2026-03-31 14:10:00+00:00,BUY,23097.20000,23151.95000,23068.82500,23152.45000,WIN,211.50,1.93,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (23088.82500) swept and reclaimed at 23096.70000, mid=23078.82500",1.00
2026-04-01 16:35:00+00:00,2026-04-01 16:40:00+00:00,BUY,23976.70000,23900.35000,23900.85000,24126.90000,LOSS,-112.46,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (23920.85000) swept and reclaimed at 23976.20000, mid=23910.85000",1.00
2026-04-02 14:00:00+00:00,2026-04-02 14:05:00+00:00,BUY,23635.30000,23612.50000,23613.00000,23678.40000,LOSS,-113.08,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (23633.00000) swept and reclaimed at 23634.80000, mid=23623.00000",1.00
2026-04-03 14:10:00+00:00,2026-04-03 14:20:00+00:00,SELL,23948.60000,23973.05000,23972.55000,23902.20000,LOSS,-111.76,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (23952.55000) swept and reclaimed at 23949.10000, mid=23962.55000",1.00
2026-04-06 13:55:00+00:00,2026-04-06 16:30:00+00:00,SELL,24140.30000,24178.20000,24177.70000,24067.00000,LOSS,-109.80,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24157.70000) swept and reclaimed at 24140.80000, mid=24167.70000",1.00
2026-04-07 20:40:00+00:00,2026-04-07 21:20:00+00:00,SELL,24091.70000,24023.55000,24126.77500,24023.05000,WIN,208.40,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24106.77500) swept and reclaimed at 24092.20000, mid=24116.77500",1.00
2026-04-08 15:05:00+00:00,2026-04-08 15:15:00+00:00,BUY,25074.10000,25037.90000,25038.40000,25144.00000,LOSS,-110.87,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (25058.40000) swept and reclaimed at 25073.60000, mid=25048.40000",1.00
