entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2020-04-22 14:45:00-04:00,LONG,1.08153,1.0813462837917678,1.08311,2020-04-22 15:10:00-04:00,1.0813462837917678,SL,-1.0,-1000.0
2020-04-22 15:10:00-04:00,LONG,1.08153,1.0812085300858585,1.08251,2020-04-22 19:35:00-04:00,1.0812085300858585,SL,-1.0,-1000.0
2021-05-10 18:30:00-04:00,LONG,1.21347,1.2133844205873463,1.21461,2021-05-10 20:15:00-04:00,1.2133844205873463,SL,-1.0,-1000.0
2021-12-29 11:20:00-05:00,SHORT,1.13509,1.135366248293648,1.13424,2021-12-29 11:40:00-05:00,1.13424,TP,3.077,3076.94
2022-06-15 14:50:00-04:00,LONG,1.04175,1.0396059503813928,1.0486,2022-06-16 03:15:00-04:00,1.0396059503813928,SL,-1.0,-1000.0
2022-07-27 14:35:00-04:00,LONG,1.01202,1.010492733934148,1.01661,2022-07-27 14:40:00-04:00,1.01661,TP,3.005,3005.37
2024-11-19 20:00:00-05:00,SHORT,1.0603,1.0606762000523302,1.05919,2024-11-19 22:35:00-05:00,1.05919,TP,2.951,2950.56
2024-12-04 13:40:00-05:00,SHORT,1.05342,1.0536204939855387,1.05205,2024-12-04 13:50:00-05:00,1.05205,TP,6.833,6833.12
2025-07-13 17:55:00-04:00,LONG,1.1666400000000001,1.1665246067795216,1.16925,2025-07-13 18:10:00-04:00,1.1665246067795216,SL,-1.0,-1000.0
2026-03-29 20:15:00-04:00,LONG,1.14926,1.1490915683566647,1.15136,2026-03-29 22:50:00-04:00,1.15136,TP,12.468,12467.97
2026-04-21 13:50:00-04:00,LONG,1.1747,1.173986463180168,1.17755,2026-04-21 13:55:00-04:00,1.173986463180168,SL,-1.0,-1000.0
2026-04-21 13:55:00-04:00,LONG,1.17394,1.173728465810156,1.17621,2026-04-21 14:10:00-04:00,1.173728465810156,SL,-1.0,-1000.0
2026-07-01 21:45:00-04:00,LONG,1.13805,1.1379334148817737,1.13855,2026-07-01 22:10:00-04:00,1.13855,TP,4.289,4288.71
