entry_time,direction,daily_bias,sweep_kind,entry_price,sl,tp1,tp2,tp3,of_score,leg1_exit_time,leg1_exit_price,leg1_exit_reason,leg2_exit_time,leg2_exit_price,leg2_exit_reason,r_multiple,pnl_usd
2024-09-05 21:15:00-04:00,LONG,Bullish,Trendline,1.11121,1.1109109421211978,1.11195,1.11312,,2,2024-09-06 02:00:00-04:00,1.11195,TP1,2024-09-06 03:30:00-04:00,1.11121,SL_BE,1.237,1237.22
2024-09-12 08:15:00-04:00,SHORT,Neutral,Trendline,1.10195,1.1023373735980138,1.10054,1.10018,,2,2024-09-12 08:30:00-04:00,1.1023373735980138,SL,2024-09-12 08:30:00-04:00,1.1023373735980138,SL,-1.0,-1000.0
2024-09-25 03:15:00-04:00,LONG,Bullish,SessionLow,1.11886,1.1186226979789566,1.11985,,,2,2024-09-25 04:15:00-04:00,1.1186226979789566,SL,2024-09-25 04:15:00-04:00,1.1186226979789566,SL,-1.0,-1000.0
2024-10-01 02:15:00-04:00,SHORT,Neutral,SessionHigh,1.1138,1.1142240846637508,1.11271,1.11265,1.11136,2,2024-10-01 03:00:00-04:00,1.11271,TP1,2024-10-01 03:00:00-04:00,1.11265,TP2,2.641,2640.98
2024-10-01 23:15:00-04:00,SHORT,Bearish,Trendline,1.10705,1.107362145131861,1.10621,1.10457,,2,2024-10-02 00:45:00-04:00,1.10621,TP1,2024-10-02 03:15:00-04:00,1.10705,SL_BE,1.346,1345.53
2024-11-26 03:15:00-05:00,SHORT,Bearish,SessionHigh,1.04827,1.0486600577545453,1.04571,1.0425,1.04079,2,2024-11-26 03:45:00-05:00,1.0486600577545453,SL,2024-11-26 03:45:00-05:00,1.0486600577545453,SL,-1.0,-1000.0
2024-12-10 14:00:00-05:00,SHORT,Bearish,Trendline,1.05298,1.0532033819255406,1.05045,1.04985,,2,2024-12-10 19:45:00-05:00,1.0532033819255406,SL,2024-12-10 19:45:00-05:00,1.0532033819255406,SL,-1.0,-1000.0
2025-01-15 10:45:00-05:00,LONG,Neutral,Trendline,1.0306,1.0295461350125512,1.03543,1.03573,1.03596,2,2025-01-15 11:00:00-05:00,1.0295461350125512,SL,2025-01-15 11:00:00-05:00,1.0295461350125512,SL,-1.0,-1000.0
2025-01-16 02:15:00-05:00,SHORT,Bearish,Trendline,1.02947,1.0299077685621258,1.02807,1.02599,1.02579,2,2025-01-16 02:30:00-05:00,1.0299077685621258,SL,2025-01-16 02:30:00-05:00,1.0299077685621258,SL,-1.0,-1000.0
2025-01-28 10:15:00-05:00,SHORT,Bearish,Trendline,1.04372,1.044200570917609,1.04138,1.04116,1.04101,2,2025-01-28 23:15:00-05:00,1.044200570917609,SL,2025-01-28 23:15:00-05:00,1.044200570917609,SL,-1.0,-1000.0
