day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2022-12-01,reversal,SHORT,2022-12-01 10:00:00-05:00,2022-12-01 10:30:00-05:00,1796.2,1804.3313195064325,1779.9373609871352,2022-12-01 18:15:00-05:00,1804.3313195064325,SL,-1.0,-500.0
2022-12-02,reversal,LONG,2022-12-02 10:15:00-05:00,2022-12-02 11:15:00-05:00,1790.46,1780.5667458020375,1810.246508395925,2022-12-02 16:45:00-05:00,1797.02,EOD,0.6631,331.54
2022-12-08,reversal,SHORT,2022-12-08 10:45:00-05:00,2022-12-08 11:15:00-05:00,1787.51,1792.4826742507748,1777.5646514984503,2022-12-08 20:00:00-05:00,1792.4826742507748,SL,-1.0,-500.0
2022-12-09,reversal,LONG,2022-12-09 09:45:00-05:00,2022-12-09 10:45:00-05:00,1796.82,1795.1255703811353,1800.2088592377293,2022-12-09 11:15:00-05:00,1800.2088592377293,TP,2.0,1000.0
2022-12-12,reversal,SHORT,2022-12-12 09:45:00-05:00,2022-12-12 10:45:00-05:00,1784.86,1790.1143510314566,1774.3512979370864,2022-12-12 23:45:00-05:00,1782.5,EOD,0.4492,224.58
2022-12-19,reversal,SHORT,2022-12-19 10:00:00-05:00,2022-12-19 10:45:00-05:00,1786.11,1792.7337461884297,1772.8625076231403,2022-12-19 22:00:00-05:00,1792.7337461884297,SL,-1.0,-500.0
2022-12-21,reversal,SHORT,2022-12-21 10:00:00-05:00,2022-12-21 11:00:00-05:00,1816.47,1821.0753766143366,1807.2592467713268,2022-12-21 23:45:00-05:00,1820.14,EOD,-0.7969,-398.45
2022-12-30,reversal,SHORT,2022-12-30 13:00:00-05:00,2022-12-30 13:30:00-05:00,1819.37,1826.329199063027,1805.4516018739455,2022-12-30 16:45:00-05:00,1823.61,EOD,-0.6093,-304.63
2023-01-23,reversal,LONG,2023-01-23 09:45:00-05:00,2023-01-23 10:30:00-05:00,1919.69,1912.905391766663,1933.2592164666744,2023-01-23 20:30:00-05:00,1933.2592164666744,TP,2.0,1000.0
2023-01-24,reversal,LONG,2023-01-24 10:15:00-05:00,2023-01-24 10:45:00-05:00,1935.01,1926.5462555045176,1951.9374889909648,2023-01-24 23:45:00-05:00,1928.51,EOD,-0.768,-383.99
2023-02-20,reversal,SHORT,2023-02-20 09:45:00-05:00,2023-02-20 10:30:00-05:00,1843.02,1847.1195865643733,1834.8208268712533,2023-02-20 23:45:00-05:00,1839.12,EOD,0.9513,475.66
2023-03-23,reversal,LONG,2023-03-23 09:45:00-04:00,2023-03-23 10:30:00-04:00,1976.05,1966.1318327236054,1995.886334552789,2023-03-23 14:30:00-04:00,1995.886334552789,TP,2.0,1000.0
2023-03-27,reversal,LONG,2023-03-27 09:45:00-04:00,2023-03-27 10:30:00-04:00,1956.13,1943.5161729540014,1981.3576540919976,2023-03-27 23:45:00-04:00,1959.59,EOD,0.2743,137.15
2023-03-28,reversal,LONG,2023-03-28 10:00:00-04:00,2023-03-28 10:45:00-04:00,1969.05,1959.5214073717073,1988.1071852565854,2023-03-28 23:45:00-04:00,1966.35,EOD,-0.2834,-141.68
2023-03-30,reversal,LONG,2023-03-30 09:45:00-04:00,2023-03-30 10:30:00-04:00,1969.78,1964.8896404942384,1979.5607190115231,2023-03-30 12:15:00-04:00,1979.5607190115231,TP,2.0,1000.0
2023-05-03,reversal,LONG,2023-05-03 10:30:00-04:00,2023-05-03 11:00:00-04:00,2022.42,2014.0926082936346,2039.074783412731,2023-05-03 16:45:00-04:00,2039.074783412731,TP,2.0,1000.0
2023-05-10,reversal,SHORT,2023-05-10 10:00:00-04:00,2023-05-10 10:45:00-04:00,2029.0,2038.4344728131623,2010.1310543736754,2023-05-10 23:45:00-04:00,2032.28,EOD,-0.3477,-173.83
2023-05-12,reversal,SHORT,2023-05-12 09:45:00-04:00,2023-05-12 10:15:00-04:00,2013.48,2022.8571860310747,1994.7256279378507,2023-05-12 16:45:00-04:00,2010.57,EOD,0.3103,155.16
2023-05-16,reversal,SHORT,2023-05-16 09:45:00-04:00,2023-05-16 10:45:00-04:00,2003.19,2011.10753289172,1987.3549342165602,2023-05-16 13:00:00-04:00,1987.3549342165602,TP,2.0,1000.0
