entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-23 09:30:00-04:00,LONG,Breakout,15208.2,15153.811409240738,15371.36577227779,2021-08-24 02:30:00-04:00,15371.36577227779,TP,3.0,3000.0
2021-08-26 11:00:00-04:00,LONG,Bounce,15322.5,15295.074753531248,15404.775739406257,2021-08-26 15:00:00-04:00,15295.074753531248,SL,-1.0,-1000.0
2021-08-27 10:00:00-04:00,LONG,Breakout,15393.7,15335.946472758165,15566.960581725507,2021-08-30 10:00:00-04:00,15566.960581725507,TP,3.0,3000.0
2021-09-01 09:30:00-04:00,LONG,Breakout,15672.5,15646.764423848597,15749.706728454208,2021-09-01 14:30:00-04:00,15646.764423848597,SL,-1.0,-1000.0
2021-09-02 12:30:00-04:00,LONG,Bounce,15621.1,15598.151964269588,15689.944107191239,2021-09-02 13:00:00-04:00,15598.151964269588,SL,-1.0,-1000.0
2021-09-03 09:30:00-04:00,LONG,Breakout,15641.0,15627.302858816402,15682.091423550795,2021-09-03 10:00:00-04:00,15627.302858816402,SL,-1.0,-1000.0
2021-09-07 04:00:00-04:00,LONG,Bounce,15671.7,15667.928826670077,15683.013519989772,2021-09-07 04:30:00-04:00,15667.928826670077,SL,-1.0,-1000.0
2021-09-15 10:00:00-04:00,SHORT,Breakout,15342.5,15365.22950122796,15274.311496316122,2021-09-15 10:30:00-04:00,15365.22950122796,SL,-1.0,-1000.0
2021-09-28 02:00:00-04:00,SHORT,Breakout,15130.4,15156.967798153724,15050.696605538826,2021-09-28 03:00:00-04:00,15050.696605538826,TP,3.0,3000.0
2021-09-30 12:00:00-04:00,SHORT,Breakout,14715.1,14739.058618608877,14643.224144173371,2021-09-30 12:30:00-04:00,14739.058618608877,SL,-1.0,-1000.0
2021-10-04 09:30:00-04:00,SHORT,Breakout,14612.3,14658.111773219287,14474.864680342136,2021-10-04 10:30:00-04:00,14474.864680342136,TP,3.0,3000.0
2021-10-08 03:00:00-04:00,SHORT,Breakout,14875.5,14888.00780906274,14837.976572811782,2021-10-08 05:30:00-04:00,14888.00780906274,SL,-1.0,-1000.0
2021-10-13 14:00:00-04:00,SHORT,Bounce,14758.4,14805.802923482084,14616.191229553746,2021-10-13 18:30:00-04:00,14805.802923482084,SL,-1.0,-1000.0
2021-10-18 03:00:00-04:00,LONG,Bounce,15080.1,15056.57530506226,15150.67408481322,2021-10-18 09:30:00-04:00,15150.67408481322,TP,3.0,3000.0
2021-10-18 09:30:00-04:00,LONG,Breakout,15152.1,15134.67932669176,15204.362019924723,2021-10-18 11:00:00-04:00,15204.362019924723,TP,3.0,3000.0
2021-10-19 02:30:00-04:00,LONG,Breakout,15342.5,15327.141197900779,15388.576406297663,2021-10-19 03:00:00-04:00,15327.141197900779,SL,-1.0,-1000.0
2021-10-19 04:00:00-04:00,LONG,Breakout,15343.4,15326.908881846943,15392.87335445917,2021-10-19 09:30:00-04:00,15326.908881846943,SL,-1.0,-1000.0
2021-10-20 10:00:00-04:00,LONG,Breakout,15451.5,15425.415499411902,15529.753501764295,2021-10-20 10:30:00-04:00,15425.415499411902,SL,-1.0,-1000.0
2021-10-20 11:30:00-04:00,LONG,Breakout,15434.2,15424.857001533508,15462.228995399479,2021-10-20 12:00:00-04:00,15424.857001533508,SL,-1.0,-1000.0
2021-10-26 09:30:00-04:00,LONG,Breakout,15654.2,15623.052837052886,15747.641488841344,2021-10-26 11:30:00-04:00,15623.052837052886,SL,-1.0,-1000.0
2021-10-27 09:30:00-04:00,LONG,Breakout,15656.7,15602.068956291492,15820.593131125526,2021-10-27 10:00:00-04:00,15602.068956291492,SL,-1.0,-1000.0
2021-10-28 11:00:00-04:00,LONG,Breakout,15753.5,15726.16627031276,15835.501189061719,2021-10-28 12:30:00-04:00,15726.16627031276,SL,-1.0,-1000.0
2021-11-02 09:30:00-04:00,LONG,Breakout,15969.6,15906.168076533379,16159.895770399866,2021-11-03 18:30:00-04:00,16159.895770399866,TP,3.0,3000.0
2021-11-04 04:00:00-04:00,LONG,Breakout,16215.7,16195.286778360753,16276.939664917745,2021-11-04 08:30:00-04:00,16195.286778360753,SL,-1.0,-1000.0
2021-11-04 09:30:00-04:00,LONG,Breakout,16257.9,16223.528326281128,16361.015021156614,2021-11-04 13:30:00-04:00,16361.015021156614,TP,3.0,3000.0
2021-11-05 05:30:00-04:00,LONG,Breakout,16416.0,16384.07870198363,16511.763894049105,2021-11-05 07:00:00-04:00,16384.07870198363,SL,-1.0,-1000.0
2021-11-05 09:00:00-04:00,LONG,Breakout,16419.4,16382.878269707624,16528.965190877134,2021-11-05 12:30:00-04:00,16382.878269707624,SL,-1.0,-1000.0
2021-11-10 09:30:00-05:00,LONG,Bounce,16180.5,16133.725664322312,16320.823007033065,2021-11-10 11:30:00-05:00,16133.725664322312,SL,-1.0,-1000.0
2021-11-15 08:00:00-05:00,LONG,Breakout,16272.6,16244.496956045417,16356.90913186375,2021-11-15 09:00:00-05:00,16244.496956045417,SL,-1.0,-1000.0
2021-11-15 09:30:00-05:00,LONG,Bounce,16235.9,16209.92181211071,16313.83456366787,2021-11-15 10:00:00-05:00,16209.92181211071,SL,-1.0,-1000.0
2021-11-16 10:30:00-05:00,LONG,Breakout,16237.5,16226.06628915321,16271.80113254037,2021-11-16 11:00:00-05:00,16271.80113254037,TP,3.0,3000.0
2021-11-17 11:00:00-05:00,LONG,Breakout,16358.4,16331.775626929855,16438.273119210433,2021-11-17 12:00:00-05:00,16331.775626929855,SL,-1.0,-1000.0
2021-11-18 04:00:00-05:00,LONG,Breakout,16409.1,16396.782394050246,16446.052817849257,2021-11-18 04:30:00-05:00,16396.782394050246,SL,-1.0,-1000.0
2021-11-18 11:30:00-05:00,LONG,Breakout,16458.2,16406.827136791595,16612.318589625218,2021-11-19 09:30:00-05:00,16612.318589625218,TP,3.0,3000.0
2021-11-22 04:00:00-05:00,LONG,Breakout,16649.4,16632.051203011644,16701.446390965073,2021-11-22 05:30:00-05:00,16632.051203011644,SL,-1.0,-1000.0
2021-11-22 06:30:00-05:00,LONG,Breakout,16644.9,16632.386621161946,16682.440136514168,2021-11-22 07:00:00-05:00,16632.386621161946,SL,-1.0,-1000.0
2021-11-22 13:00:00-05:00,LONG,Bounce,16542.3,16502.471521444353,16661.785435666938,2021-11-22 15:30:00-05:00,16502.471521444353,SL,-1.0,-1000.0
2021-11-24 09:30:00-05:00,LONG,Bounce,16183.3,16113.764847836166,16391.9054564915,2021-11-24 22:00:00-05:00,16391.9054564915,TP,3.0,3000.0
2021-11-29 09:30:00-05:00,LONG,Breakout,16300.8,16246.832407895836,16462.70277631249,2021-11-29 10:30:00-05:00,16246.832407895836,SL,-1.0,-1000.0
2021-12-01 15:00:00-05:00,SHORT,Breakout,15982.2,16087.821522088369,15665.335433734897,2021-12-03 08:30:00-05:00,16087.821522088369,SL,-1.0,-1000.0
2021-12-13 09:00:00-05:00,SHORT,Breakout,16344.0,16368.346613567137,16270.96015929859,2021-12-13 10:00:00-05:00,16270.96015929859,TP,3.0,3000.0
2021-12-14 04:30:00-05:00,SHORT,Breakout,15979.8,16097.666050041302,15626.201849876092,2021-12-15 15:00:00-05:00,16097.666050041302,SL,-1.0,-1000.0
