entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-02-06 20:30:00-05:00,LONG,SL,0.362667,-1.0,-1.2881,-1288.06
2020-02-11 12:00:00-05:00,SHORT,SL,0.410667,-1.0,-1.2604,-1260.37
2020-03-13 10:00:00-04:00,SHORT,TP,0.245333,2.371,2.3453,2345.34
2020-05-19 05:00:00-04:00,SHORT,SL,0.297333,-1.0,-1.0828,-1082.78
2020-07-15 11:00:00-04:00,LONG,SL,0.271333,-1.0,-1.0907,-1090.72
2020-08-18 03:00:00-04:00,LONG,SL,0.32,-1.0,-1.0536,-1053.61
2020-08-25 06:30:00-04:00,SHORT,SL,0.317,-1.0,-1.0521,-1052.14
2020-09-02 04:30:00-04:00,SHORT,SL,0.35,-1.0,-1.1205,-1120.55
2020-10-13 23:30:00-04:00,SHORT,SL,0.428333,-1.0,-1.1771,-1177.08
2021-03-25 10:30:00-04:00,LONG,SL,0.351333,-1.0,-1.0815,-1081.45
2021-05-14 04:00:00-04:00,LONG,TP,0.439,2.887,2.7491,2749.08
2021-07-23 10:30:00-04:00,LONG,TP,0.270667,2.965,2.8981,2898.12
2021-08-02 08:30:00-04:00,SHORT,SL,0.256333,-1.0,-1.0537,-1053.68
2021-08-02 09:30:00-04:00,SHORT,SL,0.243667,-1.0,-1.0584,-1058.38
2021-10-18 03:30:00-04:00,SHORT,SL,0.217667,-1.0,-1.0714,-1071.37
2021-10-28 10:30:00-04:00,LONG,SL,0.311667,-1.0,-1.0431,-1043.14
2022-01-31 10:00:00-05:00,LONG,SL,0.280667,-1.0,-1.0678,-1067.8
2022-03-22 06:30:00-04:00,SHORT,SL,0.287333,-1.0,-1.0854,-1085.43
2022-06-20 00:00:00-04:00,LONG,SL,0.344333,-1.0,-1.1593,-1159.25
2022-07-01 02:00:00-04:00,SHORT,TP,0.289,4.632,4.5099,4509.86
2022-07-22 10:30:00-04:00,LONG,SL,0.279667,-1.0,-1.0683,-1068.32
2022-08-28 22:30:00-04:00,SHORT,SL,0.370333,-1.0,-1.1912,-1191.25
2022-09-25 23:00:00-04:00,SHORT,SL,0.370333,-1.0,-1.1576,-1157.58
2022-10-10 22:30:00-04:00,SHORT,SL,0.34,-1.0,-1.1386,-1138.55
2022-11-15 03:30:00-05:00,LONG,SL,0.34,-1.0,-1.0823,-1082.34
2023-02-08 11:00:00-05:00,SHORT,SL,0.379333,-1.0,-1.0842,-1084.2
2023-02-10 05:30:00-05:00,SHORT,SL,0.378333,-1.0,-1.1445,-1144.51
2023-02-14 10:00:00-05:00,SHORT,TP,0.372,3.082,3.0347,3034.71
2023-02-21 10:30:00-05:00,SHORT,SL,0.378333,-1.0,-1.0927,-1092.72
2023-03-28 10:00:00-04:00,LONG,SL,0.338,-1.0,-1.0832,-1083.24
2023-05-10 04:30:00-04:00,LONG,SL,0.386667,-1.0,-1.148,-1147.98
2023-05-19 12:00:00-04:00,LONG,SL,0.387667,-1.0,-1.109,-1108.96
2023-07-05 11:30:00-04:00,SHORT,SL,0.34,-1.0,-1.1551,-1155.12
2023-07-13 02:30:00-04:00,LONG,SL,0.388333,-1.0,-1.1869,-1186.89
2023-07-25 08:00:00-04:00,SHORT,SL,0.43,-1.0,-1.0834,-1083.44
2023-08-24 11:30:00-04:00,LONG,SL,0.36,-1.0,-1.2393,-1239.29
2023-09-19 11:30:00-04:00,LONG,SL,0.36,-1.0,-1.256,-1256.01
2023-09-21 10:30:00-04:00,SHORT,SL,0.36,-1.0,-1.0853,-1085.31
2023-11-07 11:00:00-05:00,SHORT,SL,0.349,-1.0,-1.1089,-1108.86
2023-12-14 10:30:00-05:00,LONG,SL,0.36,-1.0,-1.0746,-1074.61
2024-01-12 08:00:00-05:00,LONG,SL,0.365333,-1.0,-1.0768,-1076.8
2024-01-19 10:30:00-05:00,LONG,SL,0.36,-1.0,-1.0807,-1080.7
2024-01-30 10:30:00-05:00,LONG,TP,0.36,5.772,5.6591,5659.07
2024-02-02 11:00:00-05:00,SHORT,SL,0.36,-1.0,-1.1178,-1117.85
2024-04-10 12:00:00-04:00,SHORT,SL,0.42,-1.0,-1.0755,-1075.45
2024-05-08 10:30:00-04:00,SHORT,SL,0.404333,-1.0,-1.1409,-1140.88
2024-07-02 10:30:00-04:00,LONG,SL,0.4,-1.0,-1.0902,-1090.21
2024-07-23 22:30:00-04:00,LONG,SL,0.45,-1.0,-1.1054,-1105.36
2024-08-15 10:30:00-04:00,SHORT,SL,0.42,-1.0,-1.0566,-1056.64
2024-10-07 23:30:00-04:00,SHORT,TP,0.43,2.946,2.8303,2830.31
2024-10-15 10:30:00-04:00,SHORT,SL,0.42,-1.0,-1.0782,-1078.21
2024-11-04 23:00:00-05:00,SHORT,SL,0.404667,-1.0,-1.2625,-1262.47
2024-11-06 22:00:00-05:00,SHORT,SL,0.397667,-1.0,-1.0988,-1098.79
2024-11-14 06:00:00-05:00,SHORT,SL,0.380333,-1.0,-1.1059,-1105.88
2025-01-02 06:30:00-05:00,LONG,SL,0.376,-1.0,-1.1644,-1164.44
2025-01-16 04:30:00-05:00,LONG,SL,0.369667,-1.0,-1.1362,-1136.17
2025-02-18 22:00:00-05:00,LONG,TP,0.472667,2.867,2.752,2751.98
2025-03-10 05:30:00-04:00,SHORT,TP,0.45,3.071,2.9794,2979.36
2025-04-24 20:30:00-04:00,LONG,SL,0.46,-1.0,-1.0417,-1041.66
2025-04-25 03:00:00-04:00,SHORT,TP,0.42,3.042,2.9979,2997.95
2025-05-30 11:30:00-04:00,SHORT,SL,0.37,-1.0,-1.0658,-1065.77
2025-07-06 18:30:00-04:00,SHORT,TP,0.47,2.18,2.0446,2044.63
2025-07-24 10:30:00-04:00,SHORT,TP,0.37,4.71,4.6338,4633.83
2025-09-01 00:30:00-04:00,LONG,SL,0.44,-1.0,-1.1025,-1102.5
2025-12-15 23:30:00-05:00,SHORT,SL,0.5,-1.0,-1.1125,-1112.46
2025-12-24 12:00:00-05:00,SHORT,SL,0.49,-1.0,-1.0405,-1040.47
2025-12-28 20:00:00-05:00,SHORT,SL,0.52,-1.0,-1.0249,-1024.89
2026-01-06 10:30:00-05:00,LONG,SL,0.47,-1.0,-1.0272,-1027.21
2026-02-26 12:00:00-05:00,SHORT,SL,0.45,-1.0,-1.0241,-1024.1
2026-03-10 10:00:00-04:00,LONG,SL,0.43,-1.0,-1.0161,-1016.1
2026-04-16 22:00:00-04:00,SHORT,SL,0.44,-1.0,-1.0634,-1063.35
2026-04-16 23:30:00-04:00,SHORT,SL,0.44,-1.0,-1.0861,-1086.11
2026-04-28 03:00:00-04:00,SHORT,TP,0.4,2.009,1.9729,1972.88
2026-06-30 12:00:00-04:00,LONG,SL,0.37,-1.0,-1.0616,-1061.59
2026-08-18 12:00:00-04:00,SHORT,SL,0.39,-1.0,-1.0418,-1041.81
