Ay,2023_n,2023_PF,2023_R,2023_Net,2024_n,2024_PF,2024_R,2024_Net,2025_n,2025_PF,2025_R,2025_Net,2026_n,2026_PF,2026_R,2026_Net
Iyul,11,0.62,-3.4,-3385.7,15,2.38,11.1,11061.07,8,1.35,1.7,1737.66,6,0.3,-3.5,-3484.02
Avqust,16,1.32,4.1,4123.07,13,1.24,1.9,1928.35,9,0.37,-3.8,-3801.28,3,0.0,-3.0,-3000.0
Sentyabr,17,0.69,-3.7,-3727.24,17,0.46,-7.1,-7082.4,10,0.45,-4.4,-4408.09,0,0,0,0
Oktyabr,11,1.14,1.0,989.11,7,1.52,2.1,2087.62,4,2.13,2.3,2262.71,0,0,0,0
CƏMİ,55,,-2.0,-2000.76,52,,8.0,7994.64,31,,-4.2,-4209.0,9,,-6.5,-6484.02
