Ay,2023_n,2023_PF,2023_R,2023_Net,2024_n,2024_PF,2024_R,2024_Net,2025_n,2025_PF,2025_R,2025_Net,2026_n,2026_PF,2026_R,2026_Net
Iyul,30,0.74,-6.0,-6038.91,32,2.27,25.4,25407.13,18,1.37,4.5,4458.02,19,0.6,-5.6,-5632.17
Avqust,27,1.05,0.9,921.44,17,1.65,6.5,6497.82,16,0.14,-12.8,-12837.18,11,2.48,11.8,11800.81
Sentyabr,21,1.16,2.4,2392.42,24,0.4,-12.0,-12049.65,10,0.2,-6.4,-6403.0,0,0,0,0
Oktyabr,23,0.6,-6.8,-6785.86,20,4.57,32.1,32132.56,24,0.84,-2.7,-2654.52,0,0,0,0
CƏMİ,101,,-9.5,-9510.91,93,,52.0,51987.86,68,,-17.4,-17436.68,30,,6.2,6168.64
