Yarimil,Trade,WinRate%,PF,CemiR,NetP&L
2021-H2,60,33.3,1.26,10.5,10458.88
2022-H1,128,27.3,1.04,3.6,3577.75
2022-H2,118,26.3,1.1,9.0,8991.47
2023-H1,128,29.7,1.15,13.8,13842.45
2023-H2,146,30.1,1.27,27.9,27872.51
2024-H1,138,23.2,0.83,-18.2,-18195.88
2024-H2,122,33.6,1.64,51.9,51877.33
2025-H1,100,29.0,1.0,0.3,261.52
2025-H2,102,20.6,0.54,-37.6,-37598.22
2026-H1,118,33.9,1.2,15.3,15318.54
2026-H2,30,26.7,1.28,6.2,6168.64
CƏMİ,1190,,,82.6,82574.99
