Ay,Trade,WinRate%,PF,CemiR,NetP&L
2025-08,4,75.0,13.84,12.8,12835.4
2025-09,15,26.7,1.01,0.1,122.52
2025-10,8,50.0,3.61,10.4,10424.03
2025-11,11,27.3,0.66,-2.7,-2683.81
2025-12,15,33.3,1.87,8.7,8706.83
2026-01,17,17.6,0.57,-6.1,-6072.5
2026-02,10,50.0,1.18,0.9,895.81
2026-03,17,35.3,3.15,23.6,23611.03
2026-04,10,30.0,1.58,4.0,4038.69
2026-05,12,33.3,2.19,9.5,9508.97
2026-06,12,58.3,5.29,21.5,21473.32
2026-07,13,30.8,1.41,3.7,3719.63
2026-08,15,6.7,0.11,-12.5,-12515.14
CƏMİ,159,,,74.1,74064.78
