entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-10-12 21:00:00-04:00,SHORT,SL,0.000198,-1.0,-1.1615,-1161.45
2021-05-04 03:00:00-04:00,SHORT,SL,0.000224,-1.0,-1.0516,-1051.58
2021-08-18 04:00:00-04:00,LONG,SL,0.000225,-1.0,-1.0819,-1081.89
2022-02-11 04:00:00-05:00,LONG,SL,0.000209,-1.0,-1.0603,-1060.29
2023-01-26 05:00:00-05:00,SHORT,TP,0.000169,2.3223,2.2849,2284.89
2023-03-21 03:30:00-04:00,SHORT,SL,0.00017,-1.0,-1.0625,-1062.47
2023-12-15 04:00:00-05:00,SHORT,SL,0.00015,-1.0,-1.0364,-1036.44
2025-01-03 05:00:00-05:00,LONG,TP,0.000119,4.0648,4.0317,4031.71
2025-03-31 04:00:00-04:00,SHORT,TP,0.000178,2.7472,2.6215,2621.47
