entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-02-17 05:00:00-05:00,LONG,SL,0.000171,-1.0,-1.5285,-1528.54
2020-02-18 04:15:00-05:00,SHORT,TP,0.000177,2.698,1.9757,1975.7
2020-03-09 10:30:00-04:00,SHORT,SL,0.000177,-1.0,-1.1025,-1102.54
2020-04-14 15:00:00-04:00,LONG,SL,0.000133,-1.0,-1.2991,-1299.12
2020-05-07 06:15:00-04:00,SHORT,SL,0.000157,-1.0,-1.1259,-1125.93
2020-05-11 11:30:00-04:00,SHORT,SL,0.000162,-1.0,-1.2721,-1272.14
2020-05-15 10:00:00-04:00,LONG,SL,0.000155,-1.0,-1.1267,-1126.7
2020-06-03 04:45:00-04:00,LONG,SL,0.000159,-1.0,-1.2203,-1220.34
2020-06-18 01:45:00-04:00,LONG,SL,0.000167,-1.0,-1.4324,-1432.37
2020-07-08 21:00:00-04:00,LONG,SL,0.000192,-1.0,-1.4766,-1476.63
2020-07-15 04:45:00-04:00,LONG,SL,0.000175,-1.0,-1.223,-1223.0
2020-07-16 05:15:00-04:00,SHORT,SL,0.000185,-1.0,-1.3071,-1307.06
2020-07-21 03:45:00-04:00,LONG,SL,0.000176,-1.0,-1.1417,-1141.68
2020-08-18 04:00:00-04:00,LONG,SL,0.000182,-1.0,-1.2782,-1278.23
2020-08-25 10:15:00-04:00,LONG,SL,0.000157,-1.0,-1.1971,-1197.13
2020-08-27 07:45:00-04:00,SHORT,SL,0.000153,-1.0,-1.2181,-1218.1
2020-08-27 10:30:00-04:00,SHORT,SL,0.000154,-1.0,-1.0999,-1099.92
2020-09-09 03:15:00-04:00,SHORT,SL,0.00016,-1.0,-1.2813,-1281.28
2020-10-12 04:45:00-04:00,LONG,SL,0.000167,-1.0,-1.3316,-1331.64
2020-10-15 03:45:00-04:00,SHORT,TP,0.000165,3.043,2.7707,2770.66
2020-10-22 03:45:00-04:00,SHORT,TP,0.000163,3.68,3.4209,3420.89
2020-11-17 04:00:00-05:00,LONG,SL,0.00016,-1.0,-1.1961,-1196.13
2020-12-08 03:45:00-05:00,SHORT,SL,0.000162,-1.0,-1.2028,-1202.76
2020-12-15 08:30:00-05:00,SHORT,SL,0.000167,-1.0,-1.1711,-1171.12
2020-12-21 03:45:00-05:00,SHORT,SL,0.000163,-1.0,-1.1459,-1145.87
2021-01-13 21:45:00-05:00,SHORT,SL,0.000172,-1.0,-1.3011,-1301.11
2021-01-21 20:15:00-05:00,LONG,SL,0.000172,-1.0,-1.3302,-1330.23
2021-01-28 03:15:00-05:00,SHORT,SL,0.00017,-1.0,-1.1572,-1157.25
2021-02-15 04:15:00-05:00,LONG,SL,0.000175,-1.0,-1.4298,-1429.77
2021-03-25 09:30:00-04:00,SHORT,TP,0.0002,2.599,2.3527,2352.68
2021-04-09 07:15:00-04:00,SHORT,SL,0.00023,-1.0,-1.3696,-1369.58
2021-04-09 07:45:00-04:00,SHORT,SL,0.00023,-1.0,-1.3697,-1369.74
2021-04-13 03:45:00-04:00,SHORT,SL,0.00023,-1.0,-1.3804,-1380.44
2021-04-15 04:15:00-04:00,LONG,SL,0.00023,-1.0,-1.4843,-1484.25
2021-04-22 09:30:00-04:00,LONG,SL,0.00023,-1.0,-1.2652,-1265.22
