entry_time,direction,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-02-12 04:30:00-05:00,LONG,SL,0.000173,-1.0,-1.1788,-1178.82
2020-03-05 03:00:00-05:00,SHORT,SL,0.000171,-1.0,-1.1424,-1142.39
2020-04-28 11:30:00-04:00,SHORT,SL,0.000129,-1.0,-1.1022,-1102.15
2020-05-08 12:30:00-04:00,LONG,SL,0.000167,-1.0,-1.2128,-1212.76
2020-06-25 03:30:00-04:00,SHORT,SL,0.000182,-1.0,-1.1461,-1146.09
2020-07-16 05:00:00-04:00,SHORT,SL,0.000182,-1.0,-1.2891,-1289.13
2020-08-04 04:30:00-04:00,LONG,SL,0.000174,-1.0,-1.0817,-1081.68
2020-09-04 05:30:00-04:00,LONG,SL,0.000157,-1.0,-1.1619,-1161.94
2020-09-18 12:00:00-04:00,LONG,SL,0.000157,-1.0,-1.1831,-1183.14
2020-10-12 04:30:00-04:00,LONG,SL,0.000166,-1.0,-1.2547,-1254.73
2021-01-20 12:00:00-05:00,SHORT,SL,0.000175,-1.0,-1.1954,-1195.38
2021-01-22 04:30:00-05:00,LONG,SL,0.000167,-1.0,-1.1073,-1107.26
2021-06-28 09:00:00-04:00,SHORT,SL,0.00019,-1.0,-1.2255,-1225.45
2021-07-30 03:30:00-04:00,LONG,TP,0.000193,2.049,1.7396,1739.58
2021-10-27 23:30:00-04:00,LONG,SL,0.000208,-1.0,-1.5569,-1556.95
2021-11-08 05:00:00-05:00,LONG,SL,0.0002,-1.0,-1.292,-1291.98
2021-11-29 10:00:00-05:00,SHORT,SL,0.000172,-1.0,-1.1434,-1143.43
2022-01-17 23:00:00-05:00,SHORT,SL,0.000198,-1.0,-1.2383,-1238.29
2022-02-01 05:00:00-05:00,LONG,SL,0.000194,-1.0,-1.1816,-1181.59
2022-03-10 09:30:00-05:00,LONG,SL,0.000193,-1.0,-1.0927,-1092.73
2022-06-06 13:30:00-04:00,SHORT,TP,0.000163,2.192,1.9456,1945.63
2022-08-01 22:00:00-04:00,LONG,SL,0.000171,-1.0,-1.1857,-1185.73
2022-10-03 12:30:00-04:00,LONG,SL,0.00018,-1.0,-1.138,-1137.96
2022-10-07 03:30:00-04:00,SHORT,SL,0.00017,-1.0,-1.1389,-1138.94
2022-11-23 11:30:00-05:00,LONG,TP,0.00018,2.103,1.9389,1938.86
2022-12-16 03:00:00-05:00,SHORT,SL,0.000187,-1.0,-1.1247,-1124.71
2023-02-07 14:30:00-05:00,SHORT,SL,0.000181,-1.0,-1.1508,-1150.79
2023-02-16 04:30:00-05:00,LONG,SL,0.00018,-1.0,-1.1388,-1138.8
2023-03-06 07:00:00-05:00,LONG,TP,0.000183,2.261,2.0264,2026.36
2023-03-29 04:00:00-04:00,LONG,SL,0.000183,-1.0,-1.4399,-1439.89
2023-03-29 06:30:00-04:00,LONG,SL,0.00018,-1.0,-1.2258,-1225.82
2023-07-11 22:30:00-04:00,LONG,SL,0.000177,-1.0,-1.4389,-1438.87
2023-07-13 02:30:00-04:00,LONG,SL,0.000186,-1.0,-1.1878,-1187.79
2023-07-19 03:30:00-04:00,SHORT,SL,0.0002,-1.0,-1.1714,-1171.41
2023-08-01 04:00:00-04:00,SHORT,SL,0.00016,-1.0,-1.1816,-1181.56
2023-10-06 10:30:00-04:00,SHORT,SL,0.00016,-1.0,-1.0789,-1078.94
2023-10-06 13:30:00-04:00,LONG,SL,0.00017,-1.0,-1.1539,-1153.85
2023-10-17 06:30:00-04:00,LONG,SL,0.00016,-1.0,-1.1899,-1189.87
2024-01-29 03:30:00-05:00,SHORT,TP,0.00016,2.664,2.4694,2469.38
2024-04-16 04:00:00-04:00,SHORT,SL,0.00017,-1.0,-1.1473,-1147.27
2024-04-19 00:00:00-04:00,SHORT,SL,0.000199,-1.0,-1.3633,-1363.29
