entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd,confirmations
2020-10-30 11:00:00-04:00,SHORT,11015.8,11088.705923871958,10828.6,2020-10-30 12:00:00-04:00,11088.705923871958,SL,-1.0,-1000.0,3
2020-12-14 13:00:00-05:00,LONG,12523.3,12468.222766441455,12666.7,2020-12-14 15:00:00-05:00,12468.222766441455,SL,-1.0,-1000.0,6
2021-01-25 14:00:00-05:00,LONG,13450.5,13409.50513956369,13568.1,2021-01-25 15:00:00-05:00,13409.50513956369,SL,-1.0,-1000.0,6
2021-03-02 11:00:00-05:00,SHORT,13169.5,13212.967925435181,13040.1,2021-03-02 13:30:00-05:00,13212.967925435181,SL,-1.0,-1000.0,5
2021-05-03 10:15:00-04:00,SHORT,13937.6,13963.138843678735,13857.9,2021-05-03 10:45:00-04:00,13857.9,TP,3.121,3120.74,4
2021-05-21 10:45:00-04:00,LONG,13477.2,13445.30685432358,13574.2,2021-05-21 11:15:00-04:00,13445.30685432358,SL,-1.0,-1000.0,4
2021-06-08 10:00:00-04:00,LONG,13849.2,13818.590587458324,13959.7,2021-06-08 10:30:00-04:00,13818.590587458324,SL,-1.0,-1000.0,3
2021-06-08 10:30:00-04:00,LONG,13830.2,13804.66180755335,13959.7,2021-06-08 10:45:00-04:00,13804.66180755335,SL,-1.0,-1000.0,3
2021-06-14 03:45:00-04:00,LONG,14024.1,14018.766316328823,14077.6,2021-06-14 04:15:00-04:00,14018.766316328823,SL,-1.0,-1000.0,3
2021-06-14 04:15:00-04:00,LONG,14028.4,14017.410879895771,14077.6,2021-06-14 09:15:00-04:00,14017.410879895771,SL,-1.0,-1000.0,4
2021-08-25 09:15:00-04:00,LONG,15370.3,15364.629466602824,15393.8,2021-08-25 09:30:00-04:00,15393.8,TP,4.144,4144.23,4
2021-10-06 10:30:00-04:00,SHORT,14658.0,14702.954536366418,14437.2,2021-10-06 13:30:00-04:00,14702.954536366418,SL,-1.0,-1000.0,4
2021-10-14 02:00:00-04:00,LONG,14860.0,14845.170780366609,14910.8,2021-10-14 07:45:00-04:00,14910.8,TP,3.426,3425.67,3
2021-10-21 03:30:00-04:00,SHORT,15363.7,15376.044921905956,15295.7,2021-10-21 06:00:00-04:00,15376.044921905956,SL,-1.0,-1000.0,4
2021-11-24 10:30:00-05:00,SHORT,16231.8,16278.999471315665,16090.0,2021-11-24 11:15:00-05:00,16278.999471315665,SL,-1.0,-1000.0,3
2021-11-28 19:15:00-05:00,SHORT,16194.3,16235.647058722543,15993.1,2021-11-28 20:30:00-05:00,16235.647058722543,SL,-1.0,-1000.0,4
2021-12-30 11:15:00-05:00,LONG,16559.3,16538.026541678242,16671.0,2021-12-30 14:00:00-05:00,16538.026541678242,SL,-1.0,-1000.0,4
2022-01-03 09:15:00-05:00,SHORT,16397.4,16414.761188403194,16361.5,2022-01-03 09:30:00-05:00,16414.761188403194,SL,-1.0,-1000.0,4
