entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,spread_price,r_multiple_gross,r_multiple_net,pnl_usd_net
2020-01-07 10:30:00-05:00,LONG,Bounce,8859.3,8832.311742057142,8877.5,2020-01-07 16:30:00-05:00,8832.311742057142,SL,0.0,-1.0,-1.0,-1000.0
2020-01-07 16:30:00-05:00,LONG,Bounce,8828.0,8814.5470000553,8871.6,2020-01-07 18:00:00-05:00,8814.5470000553,SL,0.0,-1.0,-1.0,-1000.0
2020-01-14 14:00:00-05:00,LONG,Bounce,9050.6,9021.612957389438,9080.1,2020-01-14 15:30:00-05:00,9021.612957389438,SL,0.0,-1.0,-1.0,-1000.0
2020-01-15 15:30:00-05:00,LONG,Bounce,9036.8,9006.438935943279,9079.6,2020-01-16 03:30:00-05:00,9079.6,TP,0.0,1.4097,1.4097,1409.7
2020-01-16 03:30:00-05:00,LONG,Breakout,9086.2,9077.720710158888,9097.8,2020-01-16 04:00:00-05:00,9077.720710158888,SL,0.0,-1.0,-1.0,-1000.0
2020-01-16 05:30:00-05:00,LONG,Breakout,9083.8,9077.737154905457,9097.8,2020-01-16 06:00:00-05:00,9077.737154905457,SL,0.0,-1.0,-1.0,-1000.0
2020-01-23 09:30:00-05:00,LONG,Bounce,9176.2,9158.469157549827,9241.3,2020-01-23 16:00:00-05:00,9241.3,TP,0.0,3.6716,3.6716,3671.57
2020-01-24 08:30:00-05:00,LONG,Retest,9263.7,9259.483692091659,9277.1,2020-01-24 09:30:00-05:00,9259.483692091659,SL,0.0,-1.0,-1.0,-1000.0
2020-01-27 05:00:00-05:00,SHORT,Breakout,8967.5,8987.71124400242,8936.1,2020-01-27 06:00:00-05:00,8936.1,TP,0.0,1.5536,1.5536,1553.59
2020-01-27 10:30:00-05:00,SHORT,Breakout,8954.1,8988.976952128114,8662.1,2020-01-27 12:00:00-05:00,8988.976952128114,SL,0.0,-1.0,-1.0,-1000.0
2020-01-28 09:30:00-05:00,SHORT,Bounce,9006.7,9033.691145538081,8964.6,2020-01-28 10:00:00-05:00,9033.691145538081,SL,0.0,-1.0,-1.0,-1000.0
2020-02-05 16:00:00-05:00,LONG,Retest,9374.5,9357.198312743338,9456.5,2020-02-06 09:30:00-05:00,9357.198312743338,SL,0.0,-1.0,-1.0,-1000.0
2020-02-10 09:30:00-05:00,LONG,Breakout,9437.7,9424.621103169602,9453.1,2020-02-10 10:30:00-05:00,9453.1,TP,0.0,1.1775,1.1775,1177.47
2020-02-20 09:30:00-05:00,LONG,Bounce,9704.5,9673.344185880487,9733.8,2020-02-20 11:00:00-05:00,9673.344185880487,SL,0.0,-1.0,-1.0,-1000.0
2020-02-25 10:30:00-05:00,SHORT,Breakout,9021.1,9043.373412049348,8959.1,2020-02-25 11:00:00-05:00,8959.1,TP,0.0,2.7836,2.7836,2783.59
2020-02-25 12:30:00-05:00,SHORT,Retest,8963.1,9044.736440065115,8916.0,2020-02-25 13:30:00-05:00,8916.0,TP,0.0,0.5769,0.5769,576.95
2020-02-26 03:30:00-05:00,SHORT,Breakout,8796.1,8813.282003815357,8662.1,2020-02-26 05:00:00-05:00,8813.282003815357,SL,0.0,-1.0,-1.0,-1000.0
2020-03-03 11:00:00-05:00,SHORT,Breakout,8719.2,8755.889488887222,8361.7,2020-03-03 11:30:00-05:00,8755.889488887222,SL,0.0,-1.0,-1.0,-1000.0
2020-03-04 02:30:00-05:00,SHORT,Retest,8718.7,8747.881470284503,8507.6,2020-03-04 04:00:00-05:00,8747.881470284503,SL,0.0,-1.0,-1.0,-1000.0
2020-03-08 19:00:00-04:00,SHORT,Breakout,8187.2,8329.637861087744,8121.2,2020-03-08 20:30:00-04:00,8121.2,TP,0.0,0.4634,0.4634,463.36
2020-03-10 11:00:00-04:00,SHORT,Bounce,8197.6,8258.047597265242,7820.5,2020-03-10 16:00:00-04:00,8258.047597265242,SL,0.0,-1.0,-1.0,-1000.0
2020-03-11 12:00:00-04:00,SHORT,Breakout,8080.7,8105.194241917825,7938.4,2020-03-11 12:30:00-04:00,8105.194241917825,SL,0.0,-1.0,-1.0,-1000.0
2020-03-16 10:30:00-04:00,SHORT,Breakout,7249.1,7322.479117333782,6944.7,2020-03-16 11:30:00-04:00,7322.479117333782,SL,0.0,-1.0,-1.0,-1000.0
2020-03-20 09:30:00-04:00,SHORT,Bounce,7444.0,7534.936842180891,7144.9,2020-03-20 13:00:00-04:00,7144.9,TP,0.0,3.2891,3.2891,3289.1
2020-03-20 15:30:00-04:00,SHORT,Breakout,7108.6,7165.6751517493885,7031.2,2020-03-20 16:00:00-04:00,7165.6751517493885,SL,0.0,-1.0,-1.0,-1000.0
2020-03-20 16:30:00-04:00,SHORT,Breakout,6983.9,7167.397350232891,6895.0,2020-03-22 19:00:00-04:00,6895.0,TP,0.0,0.4845,0.4845,484.48
2020-03-25 10:30:00-04:00,SHORT,Bounce,7484.0,7659.890474297823,7386.0,2020-03-25 11:00:00-04:00,7386.0,TP,0.0,0.5572,0.5572,557.16
2020-03-31 10:00:00-04:00,LONG,Breakout,7977.6,7942.078676938263,8252.0,2020-03-31 11:00:00-04:00,7942.078676938263,SL,0.0,-1.0,-1.0,-1000.0
2020-03-31 11:00:00-04:00,LONG,Breakout,7976.5,7941.919675523298,8252.0,2020-03-31 11:30:00-04:00,7941.919675523298,SL,0.0,-1.0,-1.0,-1000.0
2020-04-02 11:00:00-04:00,SHORT,Bounce,7562.5,7624.522269344445,7326.1,2020-04-02 11:30:00-04:00,7624.522269344445,SL,0.0,-1.0,-1.0,-1000.0
2020-04-09 03:00:00-04:00,LONG,Breakout,8264.1,8244.489465285116,8313.3,2020-04-09 04:00:00-04:00,8244.489465285116,SL,0.0,-1.0,-1.0,-1000.0
2020-04-09 08:00:00-04:00,LONG,Bounce,8149.2,8136.926711518073,8313.3,2020-04-09 09:00:00-04:00,8313.3,TP,0.0,13.3705,13.3705,13370.5
2020-04-09 09:00:00-04:00,LONG,Breakout,8295.2,8273.746909421196,8384.5,2020-04-09 09:30:00-04:00,8273.746909421196,SL,0.0,-1.0,-1.0,-1000.0
2020-04-14 09:30:00-04:00,LONG,Breakout,8602.8,8492.7677388954,8868.2,2020-04-16 18:00:00-04:00,8868.2,TP,0.0,2.412,2.412,2412.02
2020-04-23 08:30:00-04:00,LONG,Breakout,8706.1,8683.18255740842,8857.2,2020-04-23 09:30:00-04:00,8683.18255740842,SL,0.0,-1.0,-1.0,-1000.0
2020-04-23 09:30:00-04:00,LONG,Breakout,8734.7,8682.555674500118,8857.2,2020-04-23 12:30:00-04:00,8682.555674500118,SL,0.0,-1.0,-1.0,-1000.0
2020-04-28 05:00:00-04:00,LONG,Breakout,8925.6,8903.231804617559,8957.2,2020-04-28 09:30:00-04:00,8903.231804617559,SL,0.0,-1.0,-1.0,-1000.0
2020-04-29 08:30:00-04:00,LONG,Breakout,8900.3,8863.253424370308,8956.8,2020-04-29 09:30:00-04:00,8863.253424370308,SL,0.0,-1.0,-1.0,-1000.0
2020-04-29 09:30:00-04:00,LONG,Breakout,8905.1,8862.334636319296,8956.8,2020-04-29 12:00:00-04:00,8956.8,TP,0.0,1.2089,1.2089,1208.92
2020-05-04 09:30:00-04:00,LONG,Breakout,8729.1,8699.815005249236,9154.8,2020-05-07 20:00:00-04:00,9154.8,TP,0.0,14.5365,14.5365,14536.45
2020-05-19 02:00:00-04:00,LONG,Breakout,9373.1,9363.519038990855,9595.3,2020-05-19 03:30:00-04:00,9363.519038990855,SL,0.0,-1.0,-1.0,-1000.0
2020-05-19 10:30:00-04:00,LONG,Retest,9399.8,9362.57897117054,9423.2,2020-05-19 14:30:00-04:00,9362.57897117054,SL,0.0,-1.0,-1.0,-1000.0
2020-05-20 09:30:00-04:00,LONG,Breakout,9464.8,9418.199997535698,9595.3,2020-05-21 03:00:00-04:00,9418.199997535698,SL,0.0,-1.0,-1.0,-1000.0
2020-05-25 04:30:00-04:00,LONG,Breakout,9500.2,9462.178326596322,9512.1,2020-05-25 06:30:00-04:00,9512.1,TP,0.0,0.313,0.313,312.98
2020-05-29 11:00:00-04:00,LONG,Bounce,9418.2,9380.94833829785,9569.7,2020-05-29 12:30:00-04:00,9380.94833829785,SL,0.0,-1.0,-1.0,-1000.0
2020-05-29 12:30:00-04:00,LONG,Bounce,9448.3,9379.817419548242,9569.7,2020-05-29 15:30:00-04:00,9569.7,TP,0.0,1.7727,1.7727,1772.71
2020-06-02 03:00:00-04:00,LONG,Breakout,9614.7,9604.425448629147,9733.8,2020-06-02 08:30:00-04:00,9604.425448629147,SL,0.0,-1.0,-1.0,-1000.0
2020-06-03 03:00:00-04:00,LONG,Breakout,9682.0,9668.500152661425,9733.8,2020-06-03 04:00:00-04:00,9668.500152661425,SL,0.0,-1.0,-1.0,-1000.0
2020-06-04 09:30:00-04:00,LONG,Breakout,9727.5,9692.308071720663,9752.6,2020-06-04 11:00:00-04:00,9692.308071720663,SL,0.0,-1.0,-1.0,-1000.0
2020-06-15 01:30:00-04:00,SHORT,Breakout,9420.1,9504.58339846195,9375.2,2020-06-15 05:30:00-04:00,9504.58339846195,SL,0.0,-1.0,-1.0,-1000.0
2020-06-16 08:30:00-04:00,LONG,Breakout,10002.2,9953.042776050088,10156.0,2020-06-16 10:30:00-04:00,9953.042776050088,SL,0.0,-1.0,-1.0,-1000.0
2020-06-17 03:00:00-04:00,LONG,Breakout,10025.6,9991.902252783033,10156.0,2020-06-17 05:30:00-04:00,9991.902252783033,SL,0.0,-1.0,-1.0,-1000.0
2020-06-17 12:00:00-04:00,LONG,Retest,10013.0,9992.332994940794,10048.2,2020-06-17 13:00:00-04:00,10048.2,TP,0.0,1.7032,1.7032,1703.2
2020-06-22 15:30:00-04:00,LONG,Breakout,10127.7,10116.677910858343,10156.0,2020-06-22 18:30:00-04:00,10156.0,TP,0.0,2.5676,2.5676,2567.57
2020-06-29 09:30:00-04:00,SHORT,Breakout,9806.2,9823.60797839182,9382.5,2020-06-29 10:00:00-04:00,9823.60797839182,SL,0.0,-1.0,-1.0,-1000.0
2020-06-30 10:30:00-04:00,LONG,Breakout,10072.7,10033.167223168512,10131.1,2020-06-30 15:30:00-04:00,10131.1,TP,0.0,1.4773,1.4773,1477.26
2020-07-03 10:30:00-04:00,LONG,Bounce,10339.8,10325.532383307827,10400.1,2020-07-05 18:30:00-04:00,10400.1,TP,0.0,4.2264,4.2264,4226.35
2020-07-09 03:30:00-04:00,LONG,Bounce,10683.3,10652.51177557581,10705.3,2020-07-09 05:30:00-04:00,10705.3,TP,0.0,0.7146,0.7146,714.56
2020-07-10 10:00:00-04:00,LONG,Bounce,10729.0,10655.144350124167,10784.7,2020-07-10 13:30:00-04:00,10784.7,TP,0.0,0.7542,0.7542,754.17
2020-07-17 04:00:00-04:00,LONG,Breakout,10625.1,10616.158110773398,10659.7,2020-07-17 05:00:00-04:00,10616.158110773398,SL,0.0,-1.0,-1.0,-1000.0
2020-07-20 09:30:00-04:00,LONG,Breakout,10695.6,10677.032880879493,10779.2,2020-07-20 10:00:00-04:00,10779.2,TP,0.0,4.5026,4.5026,4502.58
2020-07-22 05:00:00-04:00,LONG,Bounce,10814.3,10790.360217312582,10925.8,2020-07-22 11:00:00-04:00,10790.360217312582,SL,0.0,-1.0,-1.0,-1000.0
2020-07-22 11:00:00-04:00,LONG,Bounce,10826.5,10785.799889995253,10925.8,2020-07-23 02:30:00-04:00,10925.8,TP,0.0,2.4398,2.4398,2439.8
2020-07-23 02:30:00-04:00,LONG,Breakout,10923.7,10880.227351556223,11070.7,2020-07-23 07:30:00-04:00,10880.227351556223,SL,0.0,-1.0,-1.0,-1000.0
2020-07-23 09:30:00-04:00,LONG,Bounce,10854.6,10810.715553810003,10948.7,2020-07-23 10:00:00-04:00,10810.715553810003,SL,0.0,-1.0,-1.0,-1000.0
2020-07-23 11:00:00-04:00,LONG,Bounce,10826.3,10809.783240422952,10948.7,2020-07-23 11:30:00-04:00,10809.783240422952,SL,0.0,-1.0,-1.0,-1000.0
2020-07-30 09:00:00-04:00,LONG,Bounce,10579.2,10518.186087265023,10711.8,2020-07-30 12:00:00-04:00,10711.8,TP,0.0,2.1733,2.1733,2173.27
2020-08-04 14:30:00-04:00,LONG,Bounce,11040.0,10988.56675941166,11102.8,2020-08-04 16:00:00-04:00,11102.8,TP,0.0,1.221,1.221,1221.0
2020-08-13 08:30:00-04:00,LONG,Breakout,11196.6,11185.761903023773,11275.8,2020-08-13 09:00:00-04:00,11185.761903023773,SL,0.0,-1.0,-1.0,-1000.0
2020-08-13 09:30:00-04:00,LONG,Breakout,11221.7,11185.101232709274,11275.8,2020-08-13 10:00:00-04:00,11185.101232709274,SL,0.0,-1.0,-1.0,-1000.0
2020-08-13 13:30:00-04:00,LONG,Retest,11216.5,11184.241448771825,11275.8,2020-08-13 14:00:00-04:00,11184.241448771825,SL,0.0,-1.0,-1.0,-1000.0
2020-09-04 09:30:00-04:00,SHORT,Breakout,11542.2,11598.514943457869,11408.5,2020-09-04 10:00:00-04:00,11598.514943457869,SL,0.0,-1.0,-1.0,-1000.0
2020-09-08 04:30:00-04:00,SHORT,Breakout,11356.3,11376.168153929348,11303.1,2020-09-08 05:00:00-04:00,11376.168153929348,SL,0.0,-1.0,-1.0,-1000.0
2020-09-08 10:30:00-04:00,SHORT,Breakout,11294.5,11383.496520230474,11103.1,2020-09-08 14:30:00-04:00,11103.1,TP,0.0,2.1506,2.1506,2150.65
2020-09-10 03:30:00-04:00,SHORT,Breakout,11300.7,11341.695759742852,11059.3,2020-09-10 04:30:00-04:00,11341.695759742852,SL,0.0,-1.0,-1.0,-1000.0
2020-09-10 04:30:00-04:00,SHORT,Retest,11317.8,11341.719303043583,11059.3,2020-09-10 05:00:00-04:00,11341.719303043583,SL,0.0,-1.0,-1.0,-1000.0
2020-09-10 14:00:00-04:00,SHORT,Breakout,11145.3,11282.753006912406,11059.3,2020-09-11 01:30:00-04:00,11282.753006912406,SL,0.0,-1.0,-1.0,-1000.0
