Ay,Trade,WinRate%,PF,CemiR,NetP&L
2025-08,1,100.0,999,1.2,1159.72
2025-09,10,20.0,0.45,-4.4,-4408.09
2025-10,4,50.0,2.13,2.3,2262.71
2025-11,11,45.5,5.18,25.1,25068.98
2025-12,10,40.0,2.34,8.0,8040.76
2026-01,12,33.3,1.42,3.4,3388.9
2026-02,12,25.0,0.45,-5.0,-4972.36
2026-03,11,27.3,0.44,-4.5,-4453.7
2026-04,11,45.5,3.56,15.3,15335.69
2026-05,5,60.0,4.32,6.6,6638.2
2026-06,2,0.0,0.0,-2.0,-2000.0
2026-07,6,16.7,0.3,-3.5,-3484.02
2026-08,3,0.0,0.0,-3.0,-3000.0
CƏMİ,98,,,39.6,39576.79
