Fold,Train Start,Train End,Val Start,Val End,Train Trades,Train PnL,Train Win Rate,Val Trades,Val PnL,Val Win Rate
1,2026-01-01 00:00,2026-01-01 14:00,2026-01-01 15:00,2026-01-01 20:00,0,0.00,0.00%,0,0.00,0.00%
2,2026-01-01 05:00,2026-01-01 19:00,2026-01-01 20:00,2026-01-01 01:00,0,0.00,0.00%,0,0.00,0.00%
