entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-18 09:00:00-04:00,LONG,14978.4,14899.77919142565,15141.1,2021-08-18 15:00:00-04:00,14899.77919142565,SL,-1.0,-1000.0
2022-11-28 04:00:00-05:00,SHORT,11689.3,11776.172667849774,11506.1,2022-11-29 11:00:00-05:00,11506.1,TP,2.109,2108.83
2023-01-23 09:00:00-05:00,LONG,11632.1,11593.806815315795,11953.5,2023-01-25 09:00:00-05:00,11593.806815315795,SL,-1.0,-1000.0
2023-03-06 14:00:00-05:00,LONG,12333.4,12265.268547068306,12471.7,2023-03-07 10:00:00-05:00,12265.268547068306,SL,-1.0,-1000.0
2023-10-30 13:00:00-04:00,LONG,14242.9,14230.503022955587,14397.6,2023-10-31 13:00:00-04:00,14397.6,TP,12.479,12478.85
2023-12-13 14:00:00-05:00,LONG,16401.8,16374.442155827652,16671.0,2023-12-13 20:00:00-05:00,16671.0,TP,9.84,9839.96
2024-01-31 14:00:00-05:00,SHORT,17370.2,17400.456849352235,17193.8,2024-01-31 15:00:00-05:00,17193.8,TP,5.83,5830.08
2024-02-13 08:00:00-05:00,SHORT,17798.7,17908.54981281772,17555.0,2024-02-13 09:00:00-05:00,17555.0,TP,2.218,2218.48
2024-02-18 20:00:00-05:00,SHORT,17737.5,17759.870801585315,17662.6,2024-02-19 20:00:00-05:00,17662.6,TP,3.348,3348.11
2024-12-17 09:00:00-05:00,SHORT,22140.4,22206.391949831574,21839.1,2024-12-18 14:00:00-05:00,21839.1,TP,4.566,4565.71
2025-07-22 09:00:00-04:00,SHORT,23187.2,23287.87026287736,22909.3,2025-07-24 13:00:00-04:00,23287.87026287736,SL,-1.0,-1000.0
2025-10-08 09:00:00-04:00,LONG,24894.7,24800.385057938747,25095.5,2025-10-08 12:00:00-04:00,25095.5,TP,2.129,2129.04
2026-01-08 09:00:00-05:00,SHORT,25637.0,25691.25885140071,25366.3,2026-01-09 10:00:00-05:00,25691.25885140071,SL,-1.0,-1000.0
