entry_time,direction,daily_bias,sweep_kind,entry_price,sl,tp1,tp2,tp3,of_score,leg1_exit_time,leg1_exit_price,leg1_exit_reason,leg2_exit_time,leg2_exit_price,leg2_exit_reason,r_multiple,pnl_usd
2024-08-27 03:00:00-04:00,SHORT,Bearish,SessionHigh,1.11673,1.1169981855884588,1.11594,1.11556,1.115,2,2024-08-27 03:30:00-04:00,1.1169981855884588,SL,2024-08-27 03:30:00-04:00,1.1169981855884588,SL,-1.0,-1000.0
2024-08-27 05:00:00-04:00,SHORT,Bearish,SessionHigh,1.11711,1.1174484496381274,1.11612,1.11594,1.11556,2,2024-08-27 07:30:00-04:00,1.11612,TP1,2024-08-27 08:00:00-04:00,1.11594,TP2,3.191,3191.02
2024-09-11 05:00:00-04:00,SHORT,Neutral,Trendline,1.10434,1.104981003442629,1.10167,1.101655,1.10164,2,2024-09-11 07:00:00-04:00,1.104981003442629,SL,2024-09-11 07:00:00-04:00,1.104981003442629,SL,-1.0,-1000.0
2024-09-17 08:30:00-04:00,LONG,Neutral,SessionLow,1.11248,1.1114779791067684,1.11461,1.11543,1.1159,2,2024-09-17 09:30:00-04:00,1.1114779791067684,SL,2024-09-17 09:30:00-04:00,1.1114779791067684,SL,-1.0,-1000.0
2024-12-31 07:00:00-05:00,LONG,Neutral,SessionLow,1.0403,1.039850433935523,1.04243,1.04582,1.04924,2,2024-12-31 07:30:00-05:00,1.039850433935523,SL,2024-12-31 07:30:00-05:00,1.039850433935523,SL,-1.0,-1000.0
2025-01-17 09:30:00-05:00,SHORT,Neutral,Trendline,1.02984,1.0307643295874178,1.02599,1.02579,1.02394,2,2025-01-17 10:00:00-05:00,1.0307643295874178,SL,2025-01-17 10:00:00-05:00,1.0307643295874178,SL,-1.0,-1000.0
2025-03-12 08:00:00-04:00,LONG,Neutral,SessionLow,1.08921,1.0886018900397867,1.09266,1.09472,,2,2025-03-12 08:30:00-04:00,1.0886018900397867,SL,2025-03-12 08:30:00-04:00,1.0886018900397867,SL,-1.0,-1000.0
2025-03-14 03:30:00-04:00,LONG,Neutral,SessionLow,1.08391,1.0833630091515705,1.08515,1.08587,1.08782,2,2025-03-14 04:00:00-04:00,1.08515,TP1,2025-03-14 05:30:00-04:00,1.08587,TP2,2.925,2925.09
2025-03-21 07:00:00-04:00,SHORT,Neutral,SessionHigh,1.08401,1.0847054005197692,1.08239,1.08198,1.08148,2,2025-03-21 07:30:00-04:00,1.0847054005197692,SL,2025-03-21 07:30:00-04:00,1.0847054005197692,SL,-1.0,-1000.0
2025-05-08 07:30:00-04:00,SHORT,Bearish,Trendline,1.12953,1.1301233430557103,1.12748,1.12698,1.12654,2,2025-05-08 08:00:00-04:00,1.1301233430557103,SL,2025-05-08 08:00:00-04:00,1.1301233430557103,SL,-1.0,-1000.0
2025-05-15 03:30:00-04:00,LONG,Neutral,SessionLow,1.11968,1.1189725331621079,1.12349,1.12651,1.126545,2,2025-05-15 07:00:00-04:00,1.1189725331621079,SL,2025-05-15 07:00:00-04:00,1.1189725331621079,SL,-1.0,-1000.0
2025-06-20 04:30:00-04:00,SHORT,Neutral,Trendline,1.15221,1.1529120266589492,1.14861,1.14542,1.14458,2,2025-06-20 06:00:00-04:00,1.1529120266589492,SL,2025-06-20 06:00:00-04:00,1.1529120266589492,SL,-1.0,-1000.0
2025-07-01 10:30:00-04:00,LONG,Neutral,SessionLow,1.17793,1.1765407788573394,1.18293,,,2,2025-07-01 12:00:00-04:00,1.1765407788573394,SL,2025-07-01 12:00:00-04:00,1.1765407788573394,SL,-1.0,-1000.0
2025-07-24 10:30:00-04:00,SHORT,Neutral,Trendline,1.17663,1.1773984067817127,1.17302,1.17212,1.17104,2,2025-07-24 11:00:00-04:00,1.1773984067817127,SL,2025-07-24 11:00:00-04:00,1.1773984067817127,SL,-1.0,-1000.0
