entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd,confirmations
2020-02-12 04:30:00-05:00,LONG,1.09194,1.0909744210501142,1.09541,2020-02-12 06:30:00-05:00,1.0909744210501142,SL,-1.0,-1000.0,5
2020-04-28 11:30:00-04:00,SHORT,1.08355,1.0848095506223268,1.0809,2020-04-28 21:30:00-04:00,1.0848095506223268,SL,-1.0,-1000.0,3
2020-05-08 12:30:00-04:00,LONG,1.08457,1.0837866357054717,1.08865,2020-05-08 15:00:00-04:00,1.0837866357054717,SL,-1.0,-1000.0,3
2020-06-25 03:30:00-04:00,SHORT,1.12331,1.1245535648646976,1.12024,2020-06-25 04:00:00-04:00,1.1245535648646976,SL,-1.0,-1000.0,3
2020-07-16 05:00:00-04:00,SHORT,1.13939,1.1400183296467536,1.13603,2020-07-16 07:00:00-04:00,1.1400183296467536,SL,-1.0,-1000.0,3
2020-09-04 05:30:00-04:00,LONG,1.18518,1.184212585273378,1.19126,2020-09-04 06:30:00-04:00,1.184212585273378,SL,-1.0,-1000.0,3
2020-10-12 04:30:00-04:00,LONG,1.18103,1.1803770263888347,1.18258,2020-10-12 05:00:00-04:00,1.1803770263888347,SL,-1.0,-1000.0,3
2021-01-20 12:00:00-05:00,SHORT,1.21058,1.2114739679251396,1.20758,2021-01-20 18:00:00-05:00,1.2114739679251396,SL,-1.0,-1000.0,3
2021-01-22 04:30:00-05:00,LONG,1.2173,1.215743100703411,1.2221899999999999,2021-01-22 08:00:00-05:00,1.215743100703411,SL,-1.0,-1000.0,5
2021-07-30 03:30:00-04:00,LONG,1.18944,1.1888151668213813,1.19072,2021-07-30 05:30:00-04:00,1.19072,TP,2.049,2048.55,3
2021-10-27 23:30:00-04:00,LONG,1.16048,1.1601059382958177,1.16153,2021-10-28 01:30:00-04:00,1.1601059382958177,SL,-1.0,-1000.0,3
2021-11-08 05:00:00-05:00,LONG,1.15598,1.1552950127054433,1.16156,2021-11-10 06:00:00-05:00,1.1552950127054433,SL,-1.0,-1000.0,4
2022-01-17 23:00:00-05:00,SHORT,1.1393,1.140132324897371,1.13536,2022-01-18 01:30:00-05:00,1.140132324897371,SL,-1.0,-1000.0,3
2022-02-01 05:00:00-05:00,LONG,1.12649,1.1254198263169044,1.12986,2022-02-01 08:30:00-05:00,1.1254198263169044,SL,-1.0,-1000.0,5
2022-03-10 09:30:00-05:00,LONG,1.10156,1.0994750445835448,1.11423,2022-03-10 10:30:00-05:00,1.0994750445835448,SL,-1.0,-1000.0,3
2022-06-06 13:30:00-04:00,SHORT,1.06979,1.0704515973016189,1.06834,2022-06-06 20:30:00-04:00,1.06834,TP,2.192,2191.67,3
2022-08-01 22:00:00-04:00,LONG,1.02675,1.0258310905284698,1.0448,2022-08-02 02:00:00-04:00,1.0258310905284698,SL,-1.0,-1000.0,3
2022-11-23 11:30:00-05:00,LONG,1.03628,1.0351813511235062,1.03859,2022-11-23 14:00:00-05:00,1.03859,TP,2.103,2102.58,4
2022-12-16 03:00:00-05:00,SHORT,1.0628,1.0643021821512675,1.05916,2022-12-16 03:30:00-05:00,1.0643021821512675,SL,-1.0,-1000.0,3
2023-02-07 14:30:00-05:00,SHORT,1.07186,1.0730603476425578,1.06683,2023-02-07 19:00:00-05:00,1.0730603476425578,SL,-1.0,-1000.0,4
2023-03-29 04:00:00-04:00,LONG,1.08345,1.0830347478867344,1.08487,2023-03-29 04:30:00-04:00,1.0830347478867344,SL,-1.0,-1000.0,3
2023-03-29 06:30:00-04:00,LONG,1.08566,1.0848643726081566,1.0907,2023-03-29 08:00:00-04:00,1.0848643726081566,SL,-1.0,-1000.0,5
2023-07-13 02:30:00-04:00,LONG,1.11475,1.1137612846154636,1.11749,2023-07-13 03:00:00-04:00,1.1137612846154636,SL,-1.0,-1000.0,4
2023-07-19 03:30:00-04:00,SHORT,1.1226099999999999,1.1237768099403647,1.11289,2023-07-19 05:00:00-04:00,1.1237768099403647,SL,-1.0,-1000.0,3
2023-08-01 04:00:00-04:00,SHORT,1.09784,1.098721263943596,1.09428,2023-08-01 10:00:00-04:00,1.098721263943596,SL,-1.0,-1000.0,4
2023-10-06 13:30:00-04:00,LONG,1.05874,1.0576350485492962,1.06162,2023-10-08 17:00:00-04:00,1.0576350485492962,SL,-1.0,-1000.0,4
2024-01-29 03:30:00-05:00,SHORT,1.08339,1.0842121153098132,1.0812,2024-01-29 09:00:00-05:00,1.0812,TP,2.664,2663.86,5
