Dovr,Trade,WinRate%,PF,CemiR,NetP&L
Son 5 il,616,32.1,1.25,102.9,102850.94
Son 3 il,367,34.1,1.18,44.1,44120.55
Son 1 il,98,33.7,1.61,39.6,39576.79
