entry_time,direction,daily_bias,sweep_kind,entry_price,sl,tp1,tp2,tp3,of_score,leg1_exit_time,leg1_exit_price,leg1_exit_reason,leg2_exit_time,leg2_exit_price,leg2_exit_reason,r_multiple,pnl_usd
2023-02-03 15:00:00-05:00,LONG,Neutral,SessionLow,12573.4,12506.527513441177,12831.1,12894.7,,2,2023-02-05 18:00:00-05:00,12506.527513441177,SL,2023-02-05 18:00:00-05:00,12506.527513441177,SL,-1.0,-1000.0
2023-02-14 12:00:00-05:00,LONG,Bullish,SessionLow,12483.2,12412.247818011287,12639.2,12681.7,12738.7,2,2023-02-15 14:00:00-05:00,12639.2,TP1,2023-02-15 15:00:00-05:00,12681.7,TP2,2.498,2498.16
2023-09-08 11:00:00-04:00,SHORT,Neutral,SessionHigh,15327.0,15361.972341534933,15207.2,15134.9,15010.7,2,2023-09-11 02:00:00-04:00,15361.972341534933,SL,2023-09-11 02:00:00-04:00,15361.972341534933,SL,-1.0,-1000.0
2023-09-22 11:00:00-04:00,SHORT,Bearish,Trendline,14809.4,14853.715439906116,14667.8,14667.6,14667.4,2,2023-09-25 04:00:00-04:00,14667.8,TP1,2023-09-25 04:00:00-04:00,14667.6,TP2,3.198,3197.53
2024-02-28 03:00:00-05:00,LONG,Neutral,SessionLow,17901.9,17871.942852287462,17972.4,17972.9,17987.3,2,2024-02-28 04:00:00-05:00,17871.942852287462,SL,2024-02-28 04:00:00-05:00,17871.942852287462,SL,-1.0,-1000.0
2024-04-22 12:00:00-04:00,SHORT,Neutral,SessionHigh,17129.85,17177.778204615937,16960.97,,,2,2024-04-22 13:00:00-04:00,17177.778204615937,SL,2024-04-22 13:00:00-04:00,17177.778204615937,SL,-1.0,-1000.0
2024-09-20 15:00:00-04:00,SHORT,Bearish,SessionHigh,19793.79,19845.185470036846,19623.29,19602.31,19322.63,2,2024-09-22 20:00:00-04:00,19845.185470036846,SL,2024-09-22 20:00:00-04:00,19845.185470036846,SL,-1.0,-1000.0
2025-03-04 12:00:00-05:00,SHORT,Bearish,Trendline,20293.5,20402.012311990507,20032.9,,,2,2025-03-04 13:00:00-05:00,20402.012311990507,SL,2025-03-04 13:00:00-05:00,20402.012311990507,SL,-1.0,-1000.0
2025-05-30 10:00:00-04:00,SHORT,Bearish,Trendline,21302.4,21352.56817111624,21134.55,21083.35,20657.95,2,2025-05-30 12:00:00-04:00,21134.55,TP1,2025-05-30 12:00:00-04:00,21083.35,TP2,3.856,3856.03
2025-06-18 10:00:00-04:00,SHORT,Bearish,Trendline,21847.9,21883.00443749423,21630.4,21529.2,21446.55,2,2025-06-18 20:00:00-04:00,21630.4,TP1,2025-06-19 08:00:00-04:00,21529.2,TP2,7.637,7637.21
2025-09-25 18:00:00-04:00,SHORT,Neutral,Trendline,24404.9,24467.61576889283,24219.9,24184.0,23993.3,2,2025-09-26 08:00:00-04:00,24467.61576889283,SL,2025-09-26 08:00:00-04:00,24467.61576889283,SL,-1.0,-1000.0
