day,session,direction,entry_time,entry_price,stop,exit_reason,recorded_spread_at_entry,spread_cost_used,risk,r_multiple_gross,r_multiple_net,pnl_usd_gross,pnl_usd_net
2021-02-01,09:30,LONG,2021-02-01 10:45:00-05:00,13087.2,13054.8,SL,0.0,3.0,32.4,-1.0,-1.0926,-1000.0,-1092.59
2021-02-02,09:30,LONG,2021-02-02 13:15:00-05:00,13447.4,13440.7,SL,0.0,3.0,6.7,-1.0,-1.4478,-1000.0,-1447.76
2021-02-03,09:30,LONG,2021-02-03 12:30:00-05:00,13479.5,13470.3,SL,0.0,3.0,9.2,-1.0,-1.3261,-1000.0,-1326.09
2021-02-05,09:30,LONG,2021-02-05 12:00:00-05:00,13569.1,13556.4,TP,0.0,3.0,12.7,2.0,1.7638,2000.0,1763.78
2021-02-08,09:30,SHORT,2021-02-08 15:30:00-05:00,13660.9,13681.4,SL,0.0,3.0,20.5,-1.0,-1.1463,-1000.0,-1146.34
2021-02-09,09:30,LONG,2021-02-09 11:00:00-05:00,13705.4,13684.1,SL,0.0,3.0,21.3,-1.0,-1.1408,-1000.0,-1140.85
2021-02-11,09:30,SHORT,2021-02-11 12:45:00-05:00,13684.9,13730.2,SL,0.0,3.0,45.3,-1.0,-1.0662,-1000.0,-1066.23
2021-02-12,09:30,LONG,2021-02-12 13:15:00-05:00,13722.3,13696.1,TP,0.0,3.0,26.2,2.0,1.8855,2000.0,1885.5
2021-02-15,09:30,LONG,2021-02-15 11:00:00-05:00,13866.3,13863.9,TP,0.0,3.0,2.4,2.0,0.75,2000.0,750.0
2021-02-17,09:30,SHORT,2021-02-17 10:45:00-05:00,13622.7,13631.2,SL,0.0,3.0,8.5,-1.0,-1.3529,-1000.0,-1352.94
2021-02-18,09:30,SHORT,2021-02-18 10:45:00-05:00,13528.6,13572.3,SL,0.0,3.0,43.7,-1.0,-1.0686,-1000.0,-1068.65
2021-02-22,09:30,SHORT,2021-02-22 13:15:00-05:00,13367.7,13426.0,TP,0.0,3.0,58.3,2.0,1.9485,2000.0,1948.54
2021-02-23,09:30,LONG,2021-02-23 12:15:00-05:00,12920.6,12892.3,TP,0.0,3.0,28.3,2.0,1.894,2000.0,1893.99
2021-02-26,09:30,SHORT,2021-02-26 10:30:00-05:00,12914.7,12991.0,SL,0.0,3.0,76.3,-1.0,-1.0393,-1000.0,-1039.32
2021-03-02,09:30,SHORT,2021-03-02 11:00:00-05:00,13198.0,13207.7,TP,0.0,3.0,9.7,2.0,1.6907,2000.0,1690.72
2021-03-03,09:30,SHORT,2021-03-03 11:00:00-05:00,12927.5,12955.5,SL,0.0,3.0,28.0,-1.0,-1.1071,-1000.0,-1107.14
2021-03-04,09:30,SHORT,2021-03-04 10:30:00-05:00,12620.7,12721.9,SL,0.0,3.0,101.2,-1.0,-1.0296,-1000.0,-1029.64
2021-03-05,09:30,SHORT,2021-03-05 11:30:00-05:00,12285.3,12344.5,SL,0.0,3.0,59.2,-1.0,-1.0507,-1000.0,-1050.68
2021-03-08,09:30,SHORT,2021-03-08 12:15:00-05:00,12560.1,12633.1,TP,0.0,3.0,73.0,2.0,1.9589,2000.0,1958.9
2021-03-09,09:30,LONG,2021-03-09 10:45:00-05:00,12697.9,12607.9,EOD,0.0,3.0,90.0,0.9022,0.8689,902.22,868.89
2021-03-10,09:30,SHORT,2021-03-10 11:00:00-05:00,12842.8,12892.1,TP,0.0,3.0,49.3,2.0,1.9391,2000.0,1939.15
2021-03-11,09:30,LONG,2021-03-11 21:15:00-05:00,13028.1,13002.6,TP,0.0,3.0,25.5,2.0,1.8824,2000.0,1882.35
2021-03-12,09:30,LONG,2021-03-12 12:00:00-05:00,12855.3,12841.8,TP,0.0,3.0,13.5,2.0,1.7778,2000.0,1777.78
2021-03-15,09:30,LONG,2021-03-15 10:15:00-04:00,12963.0,12930.6,SL,0.0,3.0,32.4,-1.0,-1.0926,-1000.0,-1092.59
2021-03-16,09:30,LONG,2021-03-16 12:15:00-04:00,13229.2,13206.7,SL,0.0,3.0,22.5,-1.0,-1.1333,-1000.0,-1133.33
2021-03-17,09:30,SHORT,2021-03-17 14:00:00-04:00,13044.0,13064.1,SL,0.0,3.0,20.1,-1.0,-1.1493,-1000.0,-1149.25
2021-03-18,09:30,LONG,2021-03-18 12:30:00-04:00,12996.3,12970.8,SL,0.0,3.0,25.5,-1.0,-1.1176,-1000.0,-1117.65
2021-03-19,09:30,LONG,2021-03-19 11:15:00-04:00,12814.3,12788.4,SL,0.0,3.0,25.9,-1.0,-1.1158,-1000.0,-1115.83
2021-03-22,09:30,LONG,2021-03-22 21:30:00-04:00,13057.7,13036.5,SL,0.0,3.0,21.2,-1.0,-1.1415,-1000.0,-1141.51
2021-03-23,09:30,LONG,2021-03-23 10:30:00-04:00,13112.7,13095.7,SL,0.0,3.0,17.0,-1.0,-1.1765,-1000.0,-1176.47
2021-03-24,09:30,SHORT,2021-03-24 10:45:00-04:00,13006.0,13028.1,SL,0.0,3.0,22.1,-1.0,-1.1357,-1000.0,-1135.75
2021-03-25,09:30,SHORT,2021-03-25 12:15:00-04:00,12770.2,12817.5,TP,0.0,3.0,47.3,2.0,1.9366,2000.0,1936.58
2021-03-26,09:30,SHORT,2021-03-26 11:30:00-04:00,12819.8,12832.6,SL,0.0,3.0,12.8,-1.0,-1.2344,-1000.0,-1234.37
2021-03-29,09:30,SHORT,2021-03-29 10:15:00-04:00,12886.5,12942.3,SL,0.0,3.0,55.8,-1.0,-1.0538,-1000.0,-1053.76
2021-03-30,09:30,SHORT,2021-03-30 12:30:00-04:00,12886.4,12919.8,SL,0.0,3.0,33.4,-1.0,-1.0898,-1000.0,-1089.82
2021-04-01,09:30,SHORT,2021-04-01 15:30:00-04:00,13310.7,13319.1,SL,0.0,3.0,8.4,-1.0,-1.3571,-1000.0,-1357.14
2021-04-06,09:30,LONG,2021-04-06 13:00:00-04:00,13609.2,13601.1,SL,0.0,3.0,8.1,-1.0,-1.3704,-1000.0,-1370.37
2021-04-07,09:30,LONG,2021-04-07 11:30:00-04:00,13582.0,13572.1,TP,0.0,3.0,9.9,2.0,1.697,2000.0,1696.97
2021-04-08,09:30,LONG,2021-04-08 14:45:00-04:00,13749.7,13745.5,TP,0.0,3.0,4.2,2.0,1.2857,2000.0,1285.71
2021-04-09,09:30,LONG,2021-04-09 10:15:00-04:00,13735.6,13717.5,SL,0.0,3.0,18.1,-1.0,-1.1657,-1000.0,-1165.75
2021-04-12,09:30,LONG,2021-04-12 13:30:00-04:00,13807.8,13796.8,SL,0.0,3.0,11.0,-1.0,-1.2727,-1000.0,-1272.73
2021-04-14,09:30,SHORT,2021-04-14 11:45:00-04:00,13912.8,13929.0,SL,0.0,3.0,16.2,-1.0,-1.1852,-1000.0,-1185.19
2021-04-15,09:30,LONG,2021-04-15 10:45:00-04:00,13996.6,13981.3,SL,0.0,3.0,15.3,-1.0,-1.1961,-1000.0,-1196.08
2021-04-16,09:30,LONG,2021-04-16 12:45:00-04:00,14034.7,14020.5,SL,0.0,3.0,14.2,-1.0,-1.2113,-1000.0,-1211.27
2021-04-19,09:30,SHORT,2021-04-19 10:30:00-04:00,13951.4,14009.1,TP,0.0,3.0,57.7,2.0,1.948,2000.0,1948.01
2021-04-21,09:30,LONG,2021-04-21 10:15:00-04:00,13780.9,13741.2,TP,0.0,3.0,39.7,2.0,1.9244,2000.0,1924.43
2021-04-22,09:30,LONG,2021-04-22 11:00:00-04:00,13923.7,13899.9,SL,0.0,3.0,23.8,-1.0,-1.1261,-1000.0,-1126.05
2021-04-27,09:30,SHORT,2021-04-27 10:30:00-04:00,13974.7,14002.3,EOD,0.0,3.0,27.6,-0.4457,-0.5543,-445.65,-554.35
2021-04-28,09:30,LONG,2021-04-28 10:15:00-04:00,13973.1,13929.0,SL,0.0,3.0,44.1,-1.0,-1.068,-1000.0,-1068.03
2021-04-29,09:30,SHORT,2021-04-29 14:45:00-04:00,13981.3,14036.2,EOD,0.0,3.0,54.9,1.2969,1.2423,1296.9,1242.26
2021-04-30,09:30,LONG,2021-04-30 10:45:00-04:00,13926.4,13904.6,SL,0.0,3.0,21.8,-1.0,-1.1376,-1000.0,-1137.61
2021-05-03,09:30,LONG,2021-05-03 10:30:00-04:00,13927.8,13883.7,SL,0.0,3.0,44.1,-1.0,-1.068,-1000.0,-1068.03
2021-05-04,09:30,SHORT,2021-05-04 10:15:00-04:00,13555.6,13608.0,TP,0.0,3.0,52.4,2.0,1.9427,2000.0,1942.75
2021-05-05,09:30,SHORT,2021-05-05 10:30:00-04:00,13615.5,13654.5,TP,0.0,3.0,39.0,2.0,1.9231,2000.0,1923.08
2021-05-06,09:30,LONG,2021-05-06 11:00:00-04:00,13456.3,13430.1,SL,0.0,3.0,26.2,-1.0,-1.1145,-1000.0,-1114.5
2021-05-07,09:30,LONG,2021-05-07 10:45:00-04:00,13779.3,13733.2,SL,0.0,3.0,46.1,-1.0,-1.0651,-1000.0,-1065.08
2021-05-10,09:30,SHORT,2021-05-10 11:45:00-04:00,13519.2,13523.8,SL,0.0,3.0,4.6,-1.0,-1.6522,-1000.0,-1652.17
2021-05-11,09:30,SHORT,2021-05-11 10:45:00-04:00,13193.4,13237.2,SL,0.0,3.0,43.8,-1.0,-1.0685,-1000.0,-1068.49
2021-05-12,09:30,SHORT,2021-05-12 11:00:00-04:00,13095.1,13114.8,SL,0.0,3.0,19.7,-1.0,-1.1523,-1000.0,-1152.28
2021-05-13,09:30,SHORT,2021-05-13 12:30:00-04:00,13146.6,13209.3,TP,0.0,3.0,62.7,2.0,1.9522,2000.0,1952.15
2021-05-17,09:30,SHORT,2021-05-17 15:00:00-04:00,13289.0,13299.3,SL,0.0,3.0,10.3,-1.0,-1.2913,-1000.0,-1291.26
2021-05-18,09:30,LONG,2021-05-18 11:30:00-04:00,13352.8,13335.3,SL,0.0,3.0,17.5,-1.0,-1.1714,-1000.0,-1171.43
2021-05-19,09:30,LONG,2021-05-19 12:45:00-04:00,13147.7,13137.6,TP,0.0,3.0,10.1,2.0,1.703,2000.0,1702.97
2021-05-21,09:30,SHORT,2021-05-21 11:00:00-04:00,13477.5,13485.9,TP,0.0,3.0,8.4,2.0,1.6429,2000.0,1642.86
2021-05-25,09:30,SHORT,2021-05-25 11:45:00-04:00,13642.5,13669.3,SL,0.0,3.0,26.8,-1.0,-1.1119,-1000.0,-1111.94
2021-05-26,09:30,LONG,2021-05-26 10:45:00-04:00,13697.4,13667.6,SL,0.0,3.0,29.8,-1.0,-1.1007,-1000.0,-1100.67
2021-05-27,09:30,LONG,2021-05-27 10:45:00-04:00,13681.5,13659.7,SL,0.0,3.0,21.8,-1.0,-1.1376,-1000.0,-1137.61
2021-05-28,09:30,LONG,2021-05-28 13:15:00-04:00,13745.4,13728.9,SL,0.0,3.0,16.5,-1.0,-1.1818,-1000.0,-1181.82
2021-05-31,09:30,LONG,2021-05-31 12:15:00-04:00,13674.7,13673.4,SL,0.0,3.0,1.3,-1.0,-3.3077,-1000.0,-3307.69
2021-06-02,09:30,LONG,2021-06-02 10:45:00-04:00,13691.9,13670.1,SL,0.0,3.0,21.8,-1.0,-1.1376,-1000.0,-1137.61
2021-06-03,09:30,LONG,2021-06-03 10:30:00-04:00,13512.9,13498.2,SL,0.0,3.0,14.7,-1.0,-1.2041,-1000.0,-1204.08
2021-06-07,09:30,SHORT,2021-06-07 11:45:00-04:00,13734.2,13744.3,SL,0.0,3.0,10.1,-1.0,-1.297,-1000.0,-1297.03
2021-06-09,09:30,LONG,2021-06-09 13:30:00-04:00,13856.6,13847.6,TP,0.0,3.0,9.0,2.0,1.6667,2000.0,1666.67
2021-06-10,09:30,LONG,2021-06-10 10:15:00-04:00,13926.0,13916.7,TP,0.0,3.0,9.3,2.0,1.6774,2000.0,1677.42
2021-06-11,09:30,LONG,2021-06-11 15:00:00-04:00,13967.5,13962.3,TP,0.0,3.0,5.2,2.0,1.4231,2000.0,1423.08
2021-06-14,09:30,LONG,2021-06-14 11:30:00-04:00,14033.4,14028.4,TP,0.0,3.0,5.0,2.0,1.4,2000.0,1400.0
2021-06-15,09:30,SHORT,2021-06-15 11:45:00-04:00,14067.9,14079.1,SL,0.0,3.0,11.2,-1.0,-1.2679,-1000.0,-1267.86
2021-06-16,09:30,SHORT,2021-06-16 11:00:00-04:00,14077.3,14098.3,TP,0.0,3.0,21.0,2.0,1.8571,2000.0,1857.14
2021-06-18,09:30,SHORT,2021-06-18 11:30:00-04:00,14067.8,14092.8,SL,0.0,3.0,25.0,-1.0,-1.12,-1000.0,-1120.0
2021-06-23,09:30,SHORT,2021-06-23 12:00:00-04:00,14304.3,14316.0,TP,0.0,3.0,11.7,2.0,1.7436,2000.0,1743.59
2021-06-24,09:30,LONG,2021-06-24 11:15:00-04:00,14400.9,14391.9,TP,0.0,3.0,9.0,2.0,1.6667,2000.0,1666.67
2021-06-25,09:30,SHORT,2021-06-25 10:15:00-04:00,14370.3,14399.1,EOD,0.0,3.0,28.8,1.0521,0.9479,1052.08,947.92
2021-06-28,09:30,LONG,2021-06-28 11:00:00-04:00,14471.6,14466.8,TP,0.0,3.0,4.8,2.0,1.375,2000.0,1375.0
2021-06-29,09:30,SHORT,2021-06-29 10:30:00-04:00,14518.7,14529.8,SL,0.0,3.0,11.1,-1.0,-1.2703,-1000.0,-1270.27
2021-06-30,09:30,SHORT,2021-06-30 11:45:00-04:00,14569.8,14573.2,SL,0.0,3.0,3.4,-1.0,-1.8824,-1000.0,-1882.35
2021-07-01,09:30,SHORT,2021-07-01 11:45:00-04:00,14519.0,14549.4,SL,0.0,3.0,30.4,-1.0,-1.0987,-1000.0,-1098.68
2021-07-02,09:30,SHORT,2021-07-02 11:00:00-04:00,14654.4,14660.4,SL,0.0,3.0,6.0,-1.0,-1.5,-1000.0,-1500.0
2021-07-05,09:30,LONG,2021-07-05 21:15:00-04:00,14717.1,14705.6,SL,0.0,3.0,11.5,-1.0,-1.2609,-1000.0,-1260.87
2021-07-06,09:30,SHORT,2021-07-06 11:00:00-04:00,14765.5,14778.6,TP,0.0,3.0,13.1,2.0,1.771,2000.0,1770.99
2021-07-07,09:30,SHORT,2021-07-07 11:00:00-04:00,14792.9,14801.6,TP,0.0,3.0,8.7,2.0,1.6552,2000.0,1655.17
2021-07-08,09:30,LONG,2021-07-08 21:45:00-04:00,14669.4,14657.3,SL,0.0,3.0,12.1,-1.0,-1.2479,-1000.0,-1247.93
2021-07-12,09:30,SHORT,2021-07-12 11:45:00-04:00,14850.4,14853.9,SL,0.0,3.0,3.5,-1.0,-1.8571,-1000.0,-1857.14
2021-07-13,09:30,LONG,2021-07-13 13:15:00-04:00,14927.1,14881.8,SL,0.0,3.0,45.3,-1.0,-1.0662,-1000.0,-1066.23
2021-07-14,09:30,SHORT,2021-07-14 12:15:00-04:00,14941.5,14964.3,TP,0.0,3.0,22.8,2.0,1.8684,2000.0,1868.42
2021-07-19,09:30,LONG,2021-07-19 12:00:00-04:00,14532.0,14529.9,SL,0.0,3.0,2.1,-1.0,-2.4286,-1000.0,-2428.57
2021-07-21,09:30,LONG,2021-07-21 11:30:00-04:00,14782.5,14775.0,SL,0.0,3.0,7.5,-1.0,-1.4,-1000.0,-1400.0
2021-07-22,09:30,LONG,2021-07-22 11:00:00-04:00,14921.1,14917.5,SL,0.0,3.0,3.6,-1.0,-1.8333,-1000.0,-1833.33
2021-07-26,09:30,LONG,2021-07-26 10:15:00-04:00,15102.9,15096.9,TP,0.0,3.0,6.0,2.0,1.5,2000.0,1500.0
2021-07-28,09:30,LONG,2021-07-28 10:30:00-04:00,15013.8,14990.1,TP,0.0,3.0,23.7,2.0,1.8734,2000.0,1873.42
2021-07-29,09:30,SHORT,2021-07-29 13:00:00-04:00,15068.2,15081.9,SL,0.0,3.0,13.7,-1.0,-1.219,-1000.0,-1218.98
2021-07-30,09:30,LONG,2021-07-30 10:15:00-04:00,14960.2,14924.8,SL,0.0,3.0,35.4,-1.0,-1.0847,-1000.0,-1084.75
2021-08-02,09:30,LONG,2021-08-02 10:30:00-04:00,15007.2,14984.0,TP,0.0,3.0,23.2,2.0,1.8707,2000.0,1870.69
2021-08-03,09:30,SHORT,2021-08-03 10:15:00-04:00,14940.9,14991.1,SL,0.0,3.0,50.2,-1.0,-1.0598,-1000.0,-1059.76
2021-08-05,09:30,LONG,2021-08-05 11:15:00-04:00,15158.1,15139.2,EOD,0.0,3.0,18.9,1.127,0.9683,1126.98,968.25
2021-08-06,09:30,SHORT,2021-08-06 11:15:00-04:00,15094.4,15124.2,EOD,0.0,3.0,29.8,-0.2181,-0.3188,-218.12,-318.79
2021-08-09,09:30,SHORT,2021-08-09 12:45:00-04:00,15125.5,15126.6,SL,0.0,3.0,1.1,-1.0,-3.7273,-1000.0,-3727.27
2021-08-11,09:30,SHORT,2021-08-11 12:00:00-04:00,15023.9,15050.8,EOD,0.0,3.0,26.9,0.1933,0.0818,193.31,81.78
2021-08-13,09:30,LONG,2021-08-13 10:30:00-04:00,15116.0,15108.1,TP,0.0,3.0,7.9,2.0,1.6203,2000.0,1620.25
2021-08-16,09:30,SHORT,2021-08-16 13:15:00-04:00,15049.1,15101.4,SL,0.0,3.0,52.3,-1.0,-1.0574,-1000.0,-1057.36
2021-08-17,09:30,LONG,2021-08-17 11:00:00-04:00,15030.3,15020.4,SL,0.0,3.0,9.9,-1.0,-1.303,-1000.0,-1303.03
2021-08-19,09:30,LONG,2021-08-19 10:30:00-04:00,14846.3,14806.7,TP,0.0,3.0,39.6,2.0,1.9242,2000.0,1924.24
2021-08-20,09:30,LONG,2021-08-20 11:30:00-04:00,15041.1,14996.8,EOD,0.0,3.0,44.3,1.2325,1.1648,1232.51,1164.79
2021-08-24,09:30,LONG,2021-08-24 11:00:00-04:00,15356.7,15337.0,SL,0.0,3.0,19.7,-1.0,-1.1523,-1000.0,-1152.28
2021-08-25,09:30,LONG,2021-08-25 15:00:00-04:00,15365.7,15359.9,TP,0.0,3.0,5.8,2.0,1.4828,2000.0,1482.76
2021-08-26,09:30,SHORT,2021-08-26 11:15:00-04:00,15323.7,15352.8,SL,0.0,3.0,29.1,-1.0,-1.1031,-1000.0,-1103.09
2021-08-27,09:30,LONG,2021-08-27 10:30:00-04:00,15381.6,15311.3,EOD,0.0,3.0,70.3,0.7511,0.7084,751.07,708.39
2021-08-31,09:30,LONG,2021-08-31 12:45:00-04:00,15591.1,15574.5,SL,0.0,3.0,16.6,-1.0,-1.1807,-1000.0,-1180.72
2021-09-02,09:30,SHORT,2021-09-02 10:30:00-04:00,15638.7,15649.2,SL,0.0,3.0,10.5,-1.0,-1.2857,-1000.0,-1285.71
2021-09-03,09:30,LONG,2021-09-03 10:15:00-04:00,15630.2,15590.1,EOD,0.0,3.0,40.1,0.3766,0.3017,376.56,301.75
2021-09-06,09:30,LONG,2021-09-06 10:15:00-04:00,15702.6,15690.3,SL,0.0,3.0,12.3,-1.0,-1.2439,-1000.0,-1243.9
2021-09-07,09:30,LONG,2021-09-07 11:00:00-04:00,15659.7,15632.1,EOD,0.0,3.0,27.6,0.6232,0.5145,623.19,514.49
2021-09-08,09:30,SHORT,2021-09-08 11:00:00-04:00,15579.6,15628.5,EOD,0.0,3.0,48.9,-0.1002,-0.1616,-100.2,-161.55
2021-09-09,09:30,SHORT,2021-09-09 11:45:00-04:00,15629.5,15646.8,TP,0.0,3.0,17.3,2.0,1.8266,2000.0,1826.59
2021-09-13,09:30,SHORT,2021-09-13 10:30:00-04:00,15402.9,15451.7,SL,0.0,3.0,48.8,-1.0,-1.0615,-1000.0,-1061.48
2021-09-14,09:30,SHORT,2021-09-14 10:15:00-04:00,15454.9,15484.7,SL,0.0,3.0,29.8,-1.0,-1.1007,-1000.0,-1100.67
2021-09-15,09:30,SHORT,2021-09-15 10:30:00-04:00,15354.2,15372.4,SL,0.0,3.0,18.2,-1.0,-1.1648,-1000.0,-1164.84
2021-09-20,09:30,SHORT,2021-09-20 20:30:00-04:00,15080.1,15124.1,EOD,0.0,3.0,44.0,-0.4545,-0.5227,-454.55,-522.73
2021-09-21,09:30,SHORT,2021-09-21 11:00:00-04:00,15074.6,15085.2,SL,0.0,3.0,10.6,-1.0,-1.283,-1000.0,-1283.02
2021-09-23,09:30,LONG,2021-09-23 11:15:00-04:00,15294.0,15277.8,TP,0.0,3.0,16.2,2.0,1.8148,2000.0,1814.81
2021-09-27,09:30,LONG,2021-09-27 10:45:00-04:00,15198.6,15160.8,SL,0.0,3.0,37.8,-1.0,-1.0794,-1000.0,-1079.37
2021-09-29,09:30,LONG,2021-09-29 10:15:00-04:00,14869.8,14813.6,SL,0.0,3.0,56.2,-1.0,-1.0534,-1000.0,-1053.38
2021-09-30,09:30,SHORT,2021-09-30 13:00:00-04:00,14775.1,14847.9,TP,0.0,3.0,72.8,2.0,1.9588,2000.0,1958.79
2021-10-01,09:30,SHORT,2021-10-01 10:45:00-04:00,14598.6,14630.1,SL,0.0,3.0,31.5,-1.0,-1.0952,-1000.0,-1095.24
2021-10-05,09:30,LONG,2021-10-05 21:45:00-04:00,14590.0,14553.7,EOD,0.0,3.0,36.3,0.3884,0.3058,388.43,305.79
2021-10-06,09:30,LONG,2021-10-06 10:45:00-04:00,14641.9,14594.5,SL,0.0,3.0,47.4,-1.0,-1.0633,-1000.0,-1063.29
2021-10-07,09:30,LONG,2021-10-07 11:00:00-04:00,14986.0,14968.8,SL,0.0,3.0,17.2,-1.0,-1.1744,-1000.0,-1174.42
2021-10-08,09:30,SHORT,2021-10-08 11:00:00-04:00,14884.8,14907.0,TP,0.0,3.0,22.2,2.0,1.8649,2000.0,1864.86
2021-10-11,09:30,LONG,2021-10-11 10:30:00-04:00,14875.5,14839.2,SL,0.0,3.0,36.3,-1.0,-1.0826,-1000.0,-1082.64
2021-10-12,09:30,LONG,2021-10-12 12:15:00-04:00,14717.7,14677.5,SL,0.0,3.0,40.2,-1.0,-1.0746,-1000.0,-1074.63
