entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-27 08:00:00-04:00,LONG,Breakout,1798.46,1796.9170360345147,1809.44,2021-08-27 09:00:00-04:00,1796.9170360345147,SL,-1.0,-1000.0
2021-08-31 09:00:00-04:00,LONG,Bounce,1810.51,1806.9084248391198,1823.15,2021-08-31 10:00:00-04:00,1806.9084248391198,SL,-1.0,-1000.0
2021-09-02 09:00:00-04:00,LONG,Bounce,1812.32,1808.0015236475024,1819.91,2021-09-02 10:00:00-04:00,1808.0015236475024,SL,-1.0,-1000.0
2021-09-02 10:00:00-04:00,LONG,Bounce,1812.42,1807.9225576726808,1819.91,2021-09-02 12:00:00-04:00,1807.9225576726808,SL,-1.0,-1000.0
2021-09-08 09:00:00-04:00,SHORT,Breakout,1788.65,1792.7712604199457,1779.95,2021-09-08 11:00:00-04:00,1792.7712604199457,SL,-1.0,-1000.0
2021-09-14 07:00:00-04:00,SHORT,Breakout,1784.34,1785.6590669533143,1779.95,2021-09-14 08:00:00-04:00,1785.6590669533143,SL,-1.0,-1000.0
2021-09-22 14:00:00-04:00,SHORT,Bounce,1766.9,1781.197796484573,1757.86,2021-09-23 09:00:00-04:00,1757.86,TP,0.632,632.27
2021-09-23 09:00:00-04:00,SHORT,Breakout,1751.05,1758.964414985016,1741.92,2021-09-24 09:00:00-04:00,1741.92,TP,1.154,1153.59
2021-09-27 03:00:00-04:00,SHORT,Bounce,1753.77,1758.379172658832,1740.37,2021-09-28 03:00:00-04:00,1740.37,TP,2.907,2907.25
2021-10-06 03:00:00-04:00,SHORT,Breakout,1747.73,1749.2867154330916,1722.12,2021-10-06 04:00:00-04:00,1749.2867154330916,SL,-1.0,-1000.0
2021-10-06 10:00:00-04:00,SHORT,Bounce,1759.85,1763.728510500756,1722.12,2021-10-06 14:00:00-04:00,1763.728510500756,SL,-1.0,-1000.0
2021-10-14 08:00:00-04:00,LONG,Breakout,1798.93,1795.1966426556621,1806.81,2021-10-14 09:00:00-04:00,1795.1966426556621,SL,-1.0,-1000.0
2021-10-14 10:00:00-04:00,LONG,Breakout,1796.77,1795.1707071877904,1806.81,2021-10-14 19:00:00-04:00,1795.1707071877904,SL,-1.0,-1000.0
2021-10-20 08:00:00-04:00,LONG,Breakout,1786.53,1784.3002063223976,1800.46,2021-10-20 09:00:00-04:00,1784.3002063223976,SL,-1.0,-1000.0
2021-10-22 02:00:00-04:00,LONG,Breakout,1792.94,1788.6068511830981,1800.46,2021-10-22 08:00:00-04:00,1800.46,TP,1.735,1735.46
2021-10-22 12:00:00-04:00,LONG,Breakout,1797.28,1787.927229663442,1827.15,2021-10-26 10:00:00-04:00,1787.927229663442,SL,-1.0,-1000.0
2021-11-05 10:00:00-04:00,LONG,Breakout,1801.81,1797.767660344896,1810.25,2021-11-05 11:00:00-04:00,1810.25,TP,2.088,2087.9
2021-11-23 03:00:00-05:00,SHORT,Breakout,1800.89,1803.1798776363098,1784.94,2021-11-23 08:00:00-05:00,1784.94,TP,6.965,6965.44
2021-11-30 11:00:00-05:00,SHORT,Breakout,1774.13,1782.4312324073107,1757.91,2021-12-01 00:00:00-05:00,1782.4312324073107,SL,-1.0,-1000.0
2021-12-02 09:00:00-05:00,SHORT,Breakout,1764.64,1770.829954983165,1757.91,2021-12-02 10:00:00-05:00,1770.829954983165,SL,-1.0,-1000.0
2021-12-09 07:00:00-05:00,SHORT,Breakout,1776.26,1780.195657703559,1771.96,2021-12-09 09:00:00-05:00,1780.195657703559,SL,-1.0,-1000.0
2021-12-09 11:00:00-05:00,SHORT,Breakout,1776.09,1780.3507988773258,1771.96,2021-12-10 01:00:00-05:00,1771.96,TP,0.969,969.3
2021-12-14 08:00:00-05:00,SHORT,Breakout,1772.07,1782.375483931073,1769.95,2021-12-14 09:00:00-05:00,1769.95,TP,0.206,205.72
2021-12-16 09:00:00-05:00,LONG,Breakout,1793.56,1790.6484342319993,1808.66,2021-12-17 02:00:00-05:00,1808.66,TP,5.186,5186.21
2021-12-26 20:00:00-05:00,LONG,Breakout,1810.8,1807.773581408721,1814.14,2021-12-27 02:00:00-05:00,1807.773581408721,SL,-1.0,-1000.0
2021-12-27 10:00:00-05:00,LONG,Breakout,1812.63,1811.1688211706635,1814.14,2021-12-27 11:00:00-05:00,1811.1688211706635,SL,-1.0,-1000.0
2021-12-29 03:00:00-05:00,LONG,Bounce,1804.12,1802.3795279910319,1820.14,2021-12-29 04:00:00-05:00,1802.3795279910319,SL,-1.0,-1000.0
2021-12-29 13:00:00-05:00,LONG,Bounce,1804.58,1802.1429913761758,1820.14,2021-12-29 19:00:00-05:00,1802.1429913761758,SL,-1.0,-1000.0
2021-12-30 10:00:00-05:00,LONG,Breakout,1807.06,1804.9089841112354,1820.14,2021-12-31 06:00:00-05:00,1820.14,TP,6.081,6080.85
2022-01-12 10:00:00-05:00,LONG,Breakout,1823.67,1821.9743816260234,1829.52,2022-01-12 11:00:00-05:00,1821.9743816260234,SL,-1.0,-1000.0
2022-01-19 08:00:00-05:00,LONG,Breakout,1823.87,1819.3384878196246,1829.02,2022-01-19 10:00:00-05:00,1829.02,TP,1.136,1136.49
2022-01-20 08:00:00-05:00,LONG,Breakout,1846.3,1843.2070561725243,1865.69,2022-01-20 09:00:00-05:00,1843.2070561725243,SL,-1.0,-1000.0
2022-01-20 20:00:00-05:00,LONG,Bounce,1838.27,1835.1437064428435,1865.69,2022-01-21 03:00:00-05:00,1835.1437064428435,SL,-1.0,-1000.0
2022-01-25 09:00:00-05:00,LONG,Breakout,1850.03,1842.7287282798693,1865.69,2022-01-25 10:00:00-05:00,1842.7287282798693,SL,-1.0,-1000.0
