entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd,confirmations
2020-01-15 10:00:00-05:00,LONG,1550.06,1548.455494734416,1557.43,2020-01-15 14:30:00-05:00,1557.43,TP,4.593,4593.32,3
2020-01-30 11:15:00-05:00,LONG,1582.33,1580.7733110110712,1585.85,2020-01-30 11:45:00-05:00,1580.7733110110712,SL,-1.0,-1000.0,3
2020-01-30 11:45:00-05:00,LONG,1581.03,1578.8632069432197,1585.85,2020-01-30 14:45:00-05:00,1578.8632069432197,SL,-1.0,-1000.0,4
2020-03-23 22:00:00-04:00,LONG,1574.25,1568.9346967507413,1597.82,2020-03-23 23:15:00-04:00,1568.9346967507413,SL,-1.0,-1000.0,3
2020-06-09 02:30:00-04:00,LONG,1695.27,1691.7237195488817,1704.66,2020-06-09 04:00:00-04:00,1704.66,TP,2.648,2647.84,3
2020-07-14 10:00:00-04:00,SHORT,1800.98,1803.6895549473306,1790.57,2020-07-14 10:15:00-04:00,1803.6895549473306,SL,-1.0,-1000.0,5
2020-09-25 11:00:00-04:00,SHORT,1861.91,1864.6994140519066,1850.76,2020-09-25 11:30:00-04:00,1864.6994140519066,SL,-1.0,-1000.0,5
2020-10-19 09:15:00-04:00,LONG,1911.53,1909.308976269101,1923.91,2020-10-19 09:30:00-04:00,1909.308976269101,SL,-1.0,-1000.0,3
2020-11-29 23:00:00-05:00,SHORT,1770.79,1772.3194872839106,1764.16,2020-11-30 01:15:00-05:00,1772.3194872839106,SL,-1.0,-1000.0,3
2021-01-07 10:15:00-05:00,SHORT,1912.35,1917.709178660212,1900.63,2021-01-07 11:00:00-05:00,1917.709178660212,SL,-1.0,-1000.0,3
2021-04-21 22:45:00-04:00,LONG,1793.7,1792.607946512004,1801.08,2021-04-22 00:00:00-04:00,1792.607946512004,SL,-1.0,-1000.0,3
2021-05-12 09:45:00-04:00,LONG,1833.3,1830.0472226852362,1845.28,2021-05-12 10:00:00-04:00,1830.0472226852362,SL,-1.0,-1000.0,4
2021-05-28 08:45:00-04:00,SHORT,1892.79,1896.3867745118764,1879.7,2021-05-28 09:00:00-04:00,1896.3867745118764,SL,-1.0,-1000.0,4
2021-07-02 07:30:00-04:00,LONG,1786.63,1785.138285332233,1790.22,2021-07-02 08:00:00-04:00,1785.138285332233,SL,-1.0,-1000.0,3
2021-07-30 09:15:00-04:00,SHORT,1824.26,1826.610742971411,1815.05,2021-07-30 09:45:00-04:00,1826.610742971411,SL,-1.0,-1000.0,4
2021-11-18 03:45:00-05:00,LONG,1864.94,1863.5073617355265,1870.86,2021-11-18 04:30:00-05:00,1863.5073617355265,SL,-1.0,-1000.0,3
2022-01-10 06:00:00-05:00,LONG,1799.79,1798.4889284061721,1806.98,2022-01-10 07:00:00-05:00,1798.4889284061721,SL,-1.0,-1000.0,5
2022-02-23 09:00:00-05:00,SHORT,1900.6,1902.4740620469106,1893.46,2022-02-23 09:30:00-05:00,1902.4740620469106,SL,-1.0,-1000.0,4
2022-04-27 10:45:00-04:00,SHORT,1885.39,1888.2069465056588,1877.95,2022-04-27 12:00:00-04:00,1888.2069465056588,SL,-1.0,-1000.0,3
2022-05-04 03:15:00-04:00,LONG,1869.42,1866.8379973070305,1878.04,2022-05-04 05:15:00-04:00,1866.8379973070305,SL,-1.0,-1000.0,4
2022-05-31 06:00:00-04:00,SHORT,1850.03,1851.3358774198648,1845.87,2022-05-31 07:45:00-04:00,1845.87,TP,3.186,3185.6,3
2022-06-06 08:30:00-04:00,LONG,1853.01,1850.3701843644262,1865.07,2022-06-06 09:30:00-04:00,1850.3701843644262,SL,-1.0,-1000.0,5
2022-06-07 10:00:00-04:00,LONG,1850.42,1847.763244490599,1857.86,2022-06-07 10:15:00-04:00,1847.763244490599,SL,-1.0,-1000.0,3
2022-06-09 08:30:00-04:00,SHORT,1849.79,1852.8041744718007,1842.29,2022-06-09 10:00:00-04:00,1842.29,TP,2.488,2488.24,3
2022-06-16 09:15:00-04:00,LONG,1829.01,1825.6032298893429,1835.96,2022-06-16 10:00:00-04:00,1825.6032298893429,SL,-1.0,-1000.0,3
2022-07-13 09:45:00-04:00,SHORT,1723.17,1729.626148834423,1707.11,2022-07-13 10:30:00-04:00,1729.626148834423,SL,-1.0,-1000.0,5
2022-07-15 00:15:00-04:00,SHORT,1707.9,1712.586206428661,1697.48,2022-07-15 09:00:00-04:00,1712.586206428661,SL,-1.0,-1000.0,3
2022-07-21 03:30:00-04:00,SHORT,1690.77,1693.8241161733301,1682.19,2022-07-21 06:30:00-04:00,1682.19,TP,2.809,2809.32,4
2022-08-03 06:30:00-04:00,SHORT,1760.81,1762.8611286291596,1754.85,2022-08-03 06:45:00-04:00,1762.8611286291596,SL,-1.0,-1000.0,4
2022-09-05 21:45:00-04:00,LONG,1718.2,1716.4880556997482,1726.98,2022-09-06 00:45:00-04:00,1716.4880556997482,SL,-1.0,-1000.0,3
2022-09-28 04:00:00-04:00,SHORT,1621.26,1623.2779983035523,1607.77,2022-09-28 04:15:00-04:00,1623.2779983035523,SL,-1.0,-1000.0,3
2022-09-28 04:15:00-04:00,SHORT,1620.34,1624.6643555675842,1607.77,2022-09-28 06:00:00-04:00,1624.6643555675842,SL,-1.0,-1000.0,4
2022-10-10 22:30:00-04:00,SHORT,1665.37,1667.1480252471474,1659.5,2022-10-10 22:45:00-04:00,1667.1480252471474,SL,-1.0,-1000.0,4
2022-10-10 22:45:00-04:00,SHORT,1665.23,1667.5539163009228,1659.5,2022-10-11 02:00:00-04:00,1667.5539163009228,SL,-1.0,-1000.0,6
2022-12-29 10:30:00-05:00,LONG,1814.19,1812.0324693694017,1833.3,2022-12-29 11:15:00-05:00,1812.0324693694017,SL,-1.0,-1000.0,4
2023-02-23 09:15:00-05:00,SHORT,1826.69,1830.4614997473254,1814.2,2023-02-24 08:30:00-05:00,1814.2,TP,3.312,3311.68,3
2023-03-21 11:15:00-04:00,SHORT,1948.62,1952.2498764606637,1929.12,2023-03-22 14:00:00-04:00,1952.2498764606637,SL,-1.0,-1000.0,4
2023-04-05 03:15:00-04:00,LONG,2027.03,2023.7546797469272,2049.19,2023-04-05 04:45:00-04:00,2023.7546797469272,SL,-1.0,-1000.0,3
2023-04-12 09:45:00-04:00,LONG,2007.67,2000.5599858344365,2028.21,2023-04-13 04:15:00-04:00,2028.21,TP,2.889,2888.88,4
