entry_time,direction,entry_type,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2021-09-21 08:00:00-04:00,SHORT,Breakout,109.274,109.33264804824503,109.202,2021-09-21 09:00:00-04:00,109.33264804824503,SL,-1.0,-1000.0
2021-09-21 10:00:00-04:00,SHORT,Breakout,109.201,109.33381285792557,109.101,2021-09-21 12:00:00-04:00,109.33381285792557,SL,-1.0,-1000.0
2021-10-04 08:00:00-04:00,LONG,Bounce,111.055,110.84612325099327,112.069,2021-10-04 10:00:00-04:00,110.84612325099327,SL,-1.0,-1000.0
2021-10-05 09:00:00-04:00,LONG,Breakout,111.359,111.2673806028215,112.069,2021-10-06 08:00:00-04:00,111.2673806028215,SL,-1.0,-1000.0
2021-10-08 09:00:00-04:00,LONG,Breakout,111.844,111.74962011214447,112.069,2021-10-08 11:00:00-04:00,112.069,TP,2.384,2383.98
2021-10-26 03:00:00-04:00,LONG,Breakout,114.036,113.88961747615743,114.196,2021-10-26 10:00:00-04:00,114.196,TP,1.093,1093.03
2021-10-29 09:00:00-04:00,LONG,Breakout,113.931,113.83074618270491,114.299,2021-10-29 10:00:00-04:00,113.83074618270491,SL,-1.0,-1000.0
2021-11-03 10:00:00-04:00,LONG,Breakout,114.06,113.97771419220643,114.433,2021-11-03 11:00:00-04:00,113.97771419220643,SL,-1.0,-1000.0
2021-11-08 09:00:00-05:00,SHORT,Breakout,113.105,113.3124245475279,112.989,2021-11-08 21:00:00-05:00,112.989,TP,0.559,559.24
2021-11-09 08:00:00-05:00,SHORT,Breakout,112.862,113.09290259699566,111.497,2021-11-10 02:00:00-05:00,113.09290259699566,SL,-1.0,-1000.0
2021-11-22 09:00:00-05:00,LONG,Breakout,114.599,114.4957685500015,114.959,2021-11-22 21:00:00-05:00,114.959,TP,3.487,3487.31
2021-11-30 03:00:00-05:00,SHORT,Breakout,112.882,113.02524831809252,112.761,2021-11-30 04:00:00-05:00,112.761,TP,0.845,844.69
2021-12-21 09:00:00-05:00,LONG,Breakout,113.854,113.72326643806213,114.257,2021-12-22 03:00:00-05:00,114.257,TP,3.083,3082.61
2021-12-22 03:00:00-05:00,LONG,Breakout,114.288,114.18982840885361,115.512,2021-12-22 06:00:00-05:00,114.18982840885361,SL,-1.0,-1000.0
2021-12-22 10:00:00-05:00,LONG,Breakout,114.299,114.18848933127234,115.512,2021-12-22 11:00:00-05:00,114.18848933127234,SL,-1.0,-1000.0
2021-12-23 10:00:00-05:00,LONG,Breakout,114.386,114.34152981394898,115.512,2021-12-23 11:00:00-05:00,114.34152981394898,SL,-1.0,-1000.0
2021-12-29 03:00:00-05:00,LONG,Breakout,114.981,114.92484105132489,115.512,2021-12-29 06:00:00-05:00,114.92484105132489,SL,-1.0,-1000.0
2021-12-29 10:00:00-05:00,LONG,Bounce,114.925,114.67403592655603,115.512,2022-01-03 21:00:00-05:00,115.512,TP,2.339,2338.98
2022-01-06 10:00:00-05:00,LONG,Bounce,115.735,115.58212220302742,116.175,2022-01-07 10:00:00-05:00,115.58212220302742,SL,-1.0,-1000.0
2022-01-12 08:00:00-05:00,SHORT,Breakout,115.197,115.24303960810795,115.032,2022-01-12 09:00:00-05:00,115.24303960810795,SL,-1.0,-1000.0
2022-01-13 07:00:00-05:00,SHORT,Breakout,114.341,114.39620085693534,114.044,2022-01-13 11:00:00-05:00,114.044,TP,5.38,5380.35
2022-01-19 09:00:00-05:00,SHORT,Breakout,114.34,114.4734181044011,113.47,2022-01-20 00:00:00-05:00,114.4734181044011,SL,-1.0,-1000.0
2022-01-20 10:00:00-05:00,SHORT,Breakout,113.976,114.04160140232932,113.47,2022-01-20 11:00:00-05:00,114.04160140232932,SL,-1.0,-1000.0
2022-02-02 03:00:00-05:00,SHORT,Breakout,114.526,114.57697651584576,113.768,2022-02-02 04:00:00-05:00,114.57697651584576,SL,-1.0,-1000.0
2022-02-08 08:00:00-05:00,LONG,Breakout,115.414,115.34791882831833,115.583,2022-02-08 10:00:00-05:00,115.583,TP,2.557,2557.46
2022-02-10 04:00:00-05:00,LONG,Breakout,115.777,115.64674055443682,116.039,2022-02-10 08:00:00-05:00,116.039,TP,2.011,2011.37
2022-02-15 09:00:00-05:00,LONG,Breakout,115.807,115.70641465111395,116.332,2022-02-15 11:00:00-05:00,115.70641465111395,SL,-1.0,-1000.0
2022-03-09 10:00:00-05:00,LONG,Breakout,115.803,115.75631853437805,116.332,2022-03-09 11:00:00-05:00,115.75631853437805,SL,-1.0,-1000.0
2022-03-10 05:00:00-05:00,LONG,Breakout,115.977,115.90910621398848,116.332,2022-03-10 06:00:00-05:00,115.90910621398848,SL,-1.0,-1000.0
2022-03-29 21:00:00-04:00,LONG,Bounce,122.329,121.88898504060855,124.292,2022-03-29 22:00:00-04:00,121.88898504060855,SL,-1.0,-1000.0
2022-03-30 20:00:00-04:00,LONG,Breakout,122.276,122.17307816079808,123.195,2022-03-30 21:00:00-04:00,122.17307816079808,SL,-1.0,-1000.0
2022-03-31 03:00:00-04:00,LONG,Bounce,121.627,121.23981519692741,123.195,2022-04-05 10:00:00-04:00,123.195,TP,4.05,4049.75
2022-04-05 10:00:00-04:00,LONG,Breakout,123.295,122.90817197266378,124.292,2022-04-08 08:00:00-04:00,124.292,TP,2.577,2577.37
2022-04-08 08:00:00-04:00,LONG,Breakout,124.386,124.18926640985289,125.089,2022-04-10 17:00:00-04:00,124.18926640985289,SL,-1.0,-1000.0
2022-04-22 02:00:00-04:00,LONG,Bounce,127.907,127.73509404465551,128.695,2022-04-22 11:00:00-04:00,128.695,TP,4.584,4583.9
2022-04-22 11:00:00-04:00,LONG,Breakout,128.779,128.6328762344943,129.387,2022-04-22 13:00:00-04:00,128.6328762344943,SL,-1.0,-1000.0
2022-05-03 08:00:00-04:00,LONG,Bounce,129.874,129.80724711616963,130.466,2022-05-03 09:00:00-04:00,129.80724711616963,SL,-1.0,-1000.0
2022-05-09 21:00:00-04:00,LONG,Bounce,130.259,130.07415326156715,131.338,2022-05-10 04:00:00-04:00,130.07415326156715,SL,-1.0,-1000.0
2022-05-24 09:00:00-04:00,SHORT,Breakout,126.68,127.19406415789858,126.426,2022-05-24 10:00:00-04:00,126.426,TP,0.494,494.1
2022-05-26 03:00:00-04:00,SHORT,Breakout,126.591,126.83135929349646,126.348,2022-05-26 07:00:00-04:00,126.83135929349646,SL,-1.0,-1000.0
2022-06-03 08:00:00-04:00,LONG,Breakout,130.487,130.19762943603422,130.802,2022-06-03 11:00:00-04:00,130.802,TP,1.089,1088.57
2022-06-14 11:00:00-04:00,LONG,Breakout,134.889,134.74309087807305,135.187,2022-06-14 13:00:00-04:00,134.74309087807305,SL,-1.0,-1000.0
2022-06-17 10:00:00-04:00,LONG,Breakout,135.27,134.84178979945335,135.582,2022-06-19 21:00:00-04:00,134.84178979945335,SL,-1.0,-1000.0
2022-06-27 07:00:00-04:00,LONG,Breakout,135.429,135.3395672679717,136.705,2022-06-27 08:00:00-04:00,135.3395672679717,SL,-1.0,-1000.0
2022-06-28 02:00:00-04:00,LONG,Breakout,135.588,135.50402040745615,136.705,2022-06-29 09:00:00-04:00,136.705,TP,13.301,13300.85
2022-07-08 02:00:00-04:00,LONG,Bounce,135.733,135.50636636097994,136.215,2022-07-08 08:00:00-04:00,136.215,TP,2.127,2126.78
2022-07-08 08:00:00-04:00,LONG,Breakout,136.414,136.08385285306758,136.994,2022-07-08 10:00:00-04:00,136.08385285306758,SL,-1.0,-1000.0
2022-07-13 08:00:00-04:00,LONG,Breakout,137.576,137.20474281739644,137.743,2022-07-13 10:00:00-04:00,137.20474281739644,SL,-1.0,-1000.0
2022-07-21 03:00:00-04:00,LONG,Breakout,138.582,138.32488195741448,139.379,2022-07-21 08:00:00-04:00,138.32488195741448,SL,-1.0,-1000.0
2022-07-26 06:00:00-04:00,SHORT,Bounce,136.642,136.81870570785827,136.263,2022-07-26 16:00:00-04:00,136.81870570785827,SL,-1.0,-1000.0
2022-07-28 08:00:00-04:00,SHORT,Breakout,134.706,135.15717857711743,134.516,2022-07-28 09:00:00-04:00,134.516,TP,0.421,421.12
2022-07-31 21:00:00-04:00,SHORT,Breakout,132.414,132.57630380756387,131.485,2022-07-31 23:00:00-04:00,132.57630380756387,SL,-1.0,-1000.0
2022-08-01 04:00:00-04:00,SHORT,Breakout,132.337,132.57205277581406,131.485,2022-08-01 18:00:00-04:00,131.485,TP,3.625,3624.72
2022-08-04 10:00:00-04:00,SHORT,Breakout,133.114,133.48283594673663,132.277,2022-08-05 08:00:00-04:00,133.48283594673663,SL,-1.0,-1000.0
2022-08-11 08:00:00-04:00,SHORT,Breakout,131.929,132.07955504340956,130.382,2022-08-11 09:00:00-04:00,132.07955504340956,SL,-1.0,-1000.0
