Yarimil,Trade,WinRate%,PF,CemiR,NetP&L
2021-H2,119,29.4,1.33,27.5,27522.68
2022-H1,111,27.0,1.46,36.9,36866.48
2022-H2,142,27.5,1.07,7.5,7501.29
2023-H1,139,25.2,1.67,69.8,69755.21
2023-H2,161,25.5,0.74,-31.0,-31005.13
2024-H1,116,26.7,1.21,17.6,17643.76
2024-H2,95,29.5,1.22,14.8,14827.14
2025-H1,110,20.0,0.91,-7.8,-7799.68
2025-H2,88,33.0,1.51,30.1,30126.97
2026-H1,78,35.9,2.07,53.5,53455.32
2026-H2,28,17.9,0.62,-8.8,-8795.51
CƏMİ,1187,,,210.1,210098.53
