entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2020-03-11 15:45:00-04:00,LONG,1640.03,1638.836285718998,1646.11,2020-03-11 15:50:00-04:00,1638.836285718998,SL,-1.0,-1000.0
2020-06-11 11:55:00-04:00,SHORT,1736.8,1739.7863962938773,1723.72,2020-06-11 15:15:00-04:00,1723.72,TP,4.38,4379.86
2020-08-24 20:20:00-04:00,LONG,1928.55,1927.679748198032,1930.56,2020-08-24 20:25:00-04:00,1927.679748198032,SL,-1.0,-1000.0
2020-12-30 22:30:00-05:00,SHORT,1889.25,1889.9518753541454,1884.8,2020-12-30 22:50:00-05:00,1889.9518753541454,SL,-1.0,-1000.0
2021-05-04 11:10:00-04:00,SHORT,1794.35,1798.1811358247742,1775.92,2021-05-04 11:15:00-04:00,1775.92,TP,4.811,4810.58
2022-08-17 14:00:00-04:00,LONG,1762.09,1761.2132565844884,1769.68,2022-08-17 14:35:00-04:00,1769.68,TP,8.657,8657.04
2023-08-21 20:10:00-04:00,SHORT,1894.32,1895.9185411638298,1889.72,2023-08-21 21:00:00-04:00,1895.9185411638298,SL,-1.0,-1000.0
2023-09-04 21:35:00-04:00,LONG,1937.6,1937.2153873768361,1938.63,2023-09-04 21:40:00-04:00,1937.2153873768361,SL,-1.0,-1000.0
2023-09-20 14:00:00-04:00,SHORT,1946.06,1946.3300210616003,1930.78,2023-09-20 14:30:00-04:00,1946.3300210616003,SL,-1.0,-1000.0
2023-12-26 19:15:00-05:00,SHORT,2065.13,2065.630393428282,2057.86,2023-12-26 19:55:00-05:00,2065.630393428282,SL,-1.0,-1000.0
2024-01-11 14:25:00-05:00,LONG,2020.49,2019.6153756820481,2032.99,2024-01-11 18:10:00-05:00,2032.99,TP,14.292,14291.85
2024-08-27 21:00:00-04:00,SHORT,2524.37,2526.8698191951253,2509.64,2024-08-28 01:05:00-04:00,2509.64,TP,5.892,5892.43
2024-09-26 21:40:00-04:00,SHORT,2668.58,2670.7695891966605,2662.67,2024-09-26 22:40:00-04:00,2670.7695891966605,SL,-1.0,-1000.0
2025-02-04 10:50:00-05:00,SHORT,2838.38,2842.6326034030717,2828.94,2025-02-04 12:20:00-05:00,2842.6326034030717,SL,-1.0,-1000.0
2025-05-15 19:10:00-04:00,SHORT,3246.57,3248.641713245475,3235.28,2025-05-15 20:10:00-04:00,3235.28,TP,5.45,5449.6
2026-02-06 13:30:00-05:00,SHORT,4957.91,4962.030958991053,4920.07,2026-02-06 13:35:00-05:00,4962.030958991053,SL,-1.0,-1000.0
2026-02-06 15:30:00-05:00,SHORT,4953.44,4961.084891572988,4920.07,2026-02-06 16:35:00-05:00,4961.084891572988,SL,-1.0,-1000.0
2026-07-05 19:55:00-04:00,SHORT,4183.99,4187.406819339264,4162.63,2026-07-05 20:45:00-04:00,4187.406819339264,SL,-1.0,-1000.0
