entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-16 20:35:00-04:00,SHORT,15123.3,15131.298718955151,15107.1,2021-08-17 02:35:00-04:00,15107.1,TP,2.025,2025.32
2021-12-15 14:00:00-05:00,LONG,15803.4,15752.88459281335,15944.2,2021-12-15 14:05:00-05:00,15944.2,TP,2.787,2787.27
2022-03-21 15:50:00-04:00,LONG,14281.9,14263.251566242965,14346.4,2022-03-21 15:55:00-04:00,14346.4,TP,3.459,3458.74
2022-06-19 20:55:00-04:00,SHORT,11348.5,11371.617841299078,11267.0,2022-06-19 21:30:00-04:00,11267.0,TP,3.525,3525.42
2023-05-08 14:20:00-04:00,SHORT,13274.7,13284.317819784641,13230.5,2023-05-08 14:30:00-04:00,13284.317819784641,SL,-1.0,-1000.0
2023-05-08 14:30:00-04:00,SHORT,13274.7,13288.780058895942,13230.5,2023-05-08 14:40:00-04:00,13288.780058895942,SL,-1.0,-1000.0
2024-07-31 13:40:00-04:00,SHORT,19270.7,19292.19150710072,19187.4,2024-07-31 13:45:00-04:00,19292.19150710072,SL,-1.0,-1000.0
2024-07-31 13:45:00-04:00,SHORT,19270.7,19297.95639945067,19187.4,2024-07-31 13:50:00-04:00,19297.95639945067,SL,-1.0,-1000.0
2024-07-31 13:50:00-04:00,SHORT,19314.1,19325.45237091848,19187.4,2024-07-31 14:05:00-04:00,19325.45237091848,SL,-1.0,-1000.0
2025-06-23 12:40:00-04:00,SHORT,21688.4,21759.459220277946,21509.9,2025-06-23 13:20:00-04:00,21759.459220277946,SL,-1.0,-1000.0
2026-04-05 23:25:00-04:00,SHORT,24040.3,24079.631547768917,23919.3,2026-04-06 00:00:00-04:00,24079.631547768917,SL,-1.0,-1000.0
2026-07-05 20:45:00-04:00,SHORT,29757.6,29767.207379175747,29638.6,2026-07-05 21:20:00-04:00,29638.6,TP,12.386,12386.31
2026-07-26 20:15:00-04:00,SHORT,28524.3,28572.33800019406,28146.7,2026-07-27 01:35:00-04:00,28572.33800019406,SL,-1.0,-1000.0
