day,setup_id,direction,range_high,range_low,range_points,atr,break_time,morning_extreme,entry_time,entry,stop,target,exit_time,exit_price,reason,bars_held,r_gross,r_net
2009-03-04,setup_or_fib_XAUUSD_20090304_SELL,SHORT,918.5,910.5,8.0,2.813469232672532,2009-03-04 14:59:00+00:00,908.0,2009-03-04 15:33:00+00:00,915.444,918.5,908.324,2009-03-04 17:00:00+00:00,909.8,TIME,87,1.8468586387434331,1.7933573298429102
2009-03-05,setup_or_fib_XAUUSD_20090305_SELL,SHORT,915.8,912.6,3.199999999999932,2.282369543890819,2009-03-05 14:55:00+00:00,907.1,2009-03-05 15:58:00+00:00,914.5776,915.8,911.7296,2009-03-05 16:09:00+00:00,911.7296,TP,11,2.32984293193715,2.1960896596858404
2009-03-09,setup_or_fib_XAUUSD_20090309_BUY,LONG,938.0,935.3,2.7000000000000455,2.0682364374705267,2009-03-09 13:46:00+00:00,938.5,2009-03-09 13:51:00+00:00,936.3313999999999,935.3,938.7344,2009-03-09 13:53:00+00:00,935.3,SL,2,-1.0,-1.1585223967422977
2009-03-11,setup_or_fib_XAUUSD_20090311_SELL,SHORT,901.9,898.2,3.699999999999932,2.579594950294703,2009-03-11 13:45:00+00:00,893.4,2009-03-11 14:36:00+00:00,900.4866,901.9,897.1936000000001,2009-03-11 14:44:00+00:00,901.9,SL,8,-1.0,-1.1156785057308598
2009-03-18,setup_or_fib_XAUUSD_20090318_BUY,LONG,905.9,902.1,3.7999999999999545,2.1702771192330936,2009-03-18 14:10:00+00:00,906.6,2009-03-18 14:26:00+00:00,903.5516,902.1,906.9336,2009-03-18 14:27:00+00:00,902.1,SL,1,-1.0,-1.1126343345274192
2009-03-19,setup_or_fib_XAUUSD_20090319_SELL,SHORT,957.1,948.5,8.600000000000023,3.664385768256182,2009-03-19 13:58:00+00:00,944.6,2009-03-19 14:33:00+00:00,953.8148,957.1,946.1608,2009-03-19 14:51:00+00:00,957.1,SL,18,-1.0,-1.049768659442347
2009-03-20,setup_or_fib_XAUUSD_20090320_BUY,LONG,955.5,946.5,9.0,3.2059097114419446,2009-03-20 13:51:00+00:00,958.2,2009-03-20 15:07:00+00:00,949.938,946.5,957.948,2009-03-20 16:00:00+00:00,954.3,TIME,53,1.2687609075043575,1.2212041884816698
2009-03-30,setup_or_fib_XAUUSD_20090330_BUY,LONG,927.7,915.1,12.600000000000023,2.1185958646353913,2009-03-30 13:46:00+00:00,931.8,2009-03-30 15:48:00+00:00,919.9132000000001,915.1,931.1272,2009-03-30 15:55:00+00:00,915.1,SL,7,-1.0,-1.033969085016205
2009-03-31,setup_or_fib_XAUUSD_20090331_SELL,SHORT,920.5,915.8,4.7000000000000455,2.339778113437999,2009-03-31 14:32:00+00:00,911.3,2009-03-31 15:24:00+00:00,918.7046,920.5,914.5215999999999,2009-03-31 16:00:00+00:00,919.2,TIME,36,-0.27592736994543027,-0.3669934276484505
2009-04-02,setup_or_fib_XAUUSD_20090402_SELL,SHORT,905.8,900.1,5.699999999999932,3.913741626272292,2009-04-02 14:02:00+00:00,896.3,2009-04-02 14:49:00+00:00,903.6226,905.8,898.5496,2009-04-02 15:07:00+00:00,898.5496,TP,18,2.329842931937248,2.2547533755856333
2009-04-03,setup_or_fib_XAUUSD_20090403_SELL,SHORT,908.4,903.2,5.199999999999932,2.889224199247697,2009-04-03 13:45:00+00:00,901.1,2009-04-03 14:05:00+00:00,906.4136,908.4,901.7856,2009-04-03 14:50:00+00:00,901.7856,TP,45,2.3298429319371334,2.247533225936328
2009-04-07,setup_or_fib_XAUUSD_20090407_BUY,LONG,881.1,876.5,4.600000000000023,2.1631650644610922,2009-04-07 13:47:00+00:00,882.3,2009-04-07 14:01:00+00:00,878.2572,876.5,882.3512000000001,2009-04-07 15:26:00+00:00,882.3512000000001,TP,79,2.3298429319371863,2.2367971773275808
2009-04-08,setup_or_fib_XAUUSD_20090408_SELL,SHORT,886.9,883.1,3.7999999999999545,1.8826593318831193,2009-04-08 13:46:00+00:00,878.1,2009-04-08 14:39:00+00:00,885.4484,886.9,882.0664,2009-04-08 15:07:00+00:00,886.9,SL,28,-1.0,-1.1126343345274192
2009-04-09,setup_or_fib_XAUUSD_20090409_BUY,LONG,878.5,876.2,2.2999999999999545,2.266316879241124,2009-04-09 13:47:00+00:00,882.7,2009-04-09 14:15:00+00:00,877.0786,876.2,879.1256,2009-04-09 14:24:00+00:00,876.2,SL,9,-1.0,-1.1860915092192112
